,0,1,2
0,경포호,강원도 강릉시 저동 94,다양한 철새를 볼 수 있는 호수로 일몰 풍경과 호숫가에 화단이 있는 공원으로 유명합니다.
1,강릉 선교장,강원도 강릉시 운정동 운정길 63,18세기 상류층 가문의 잘 보존된 우아한 가옥으로 현재는 박물관으로 사용되고 있습니다.
2,강릉솔향수목원,강원도 강릉시 구정면 수목원길 156,","
3,안반데기,강원도 강릉시 왕산면 안반덕길 428,","
4,오죽헌,강원도 강릉시 경포동 율곡로3139번길 24,저명한 유학자의 고향이었던 역사적인 장소로 박물관이 있어 다양한 정보를 제공합니다.
5,모래시계공원,강원도 강릉시 강동면 헌화로 990-1,","
6,정동진레일바이크,강원도 강릉시 강동면 정동역길 17,","
7,멍에전망대,강원도 강릉시 왕산면 대기리 2214-98,","
8,경포아쿠아리움,강원도 강릉시 난설헌로 131,","
9,경포호수광장,강원도 강릉시 초당동 459-2,","
10,정동진 시간박물관,강원도 강릉시 강동면 헌화로 990-1,","
11,월화거리,강원도 강릉시 임당동 101-19,","
12,강릉임해자연휴양림,강원도 강릉시 강동면 안인진리 산45-49,","
13,허균·허난설헌 기념공원,강원도 강릉시 난설헌로193번길 1-29,","
