index,name,address,description,latitude,longitude,level
0,고성 왕곡마을,강원도 고성군 죽왕면 오봉리,",",0.0,0.0,4
1,화진포,강원도 고성군 거진읍 화진포길 280,주변에 별장이 많은 고요한 호수로 북한 지도자가 찾던 여름 별장이 있습니다.,38.468533050000005,128.43662679117392,4
2,DMZ 박물관,강원도 고성군 현내면 통일전망대로 369,",",0.0,0.0,4
3,능파대,강원도 고성군 죽왕면 문암진리,",",0.0,0.0,4
4,천학정,강원도 고성군 토성면 교암리 177-1,",",0.0,0.0,4
5,화진포의 성(김일성 별장),강원도 고성군 거진읍 화진포길 280,",",0.0,0.0,4
6,고성통일전망타워,강원도 고성군 현내면 금강산로 481,전망대에서 남한과 가장 가까운 북한 지역을 볼 수 있으며 통일을 기원하는 기념비가 있습니다.,0.0,0.0,4
7,소똥령농촌체험휴양마을,강원도 고성군 간성읍 소똥령마을길 82,",",0.0,0.0,4
8,이승만 대통령 별장,강원도 고성군 현내면 이승만별장길 33,",",0.0,0.0,4
9,장신유원지,강원도 고성군 간성읍 장신리 513,",",0.0,0.0,4
10,도원리유원지,강원 고성군 토성면 도원1리,",",0.0,0.0,4
11,청간정,강원 고성군 토성면 도원1리,",",38.26435,128.5583837,4
12,화진포 해양박물관,강원도 고성군 현내면 화진포길 412,",",38.481546,128.43593,4
13,거진해맞이산림욕장,강원도 고성군 거진읍 거진리,",",0.0,0.0,4
