index,name,address,description,latitude,longitude,level
0,대금굴,강원도 삼척시 신기면 환선로 800,암석으로 형성된 거대한 동굴이 있는 자연 관광 명소로 모노레일을 이용할 수 있습니다.,37.3194535,129.0173267,3
1,환선굴(幻仙窟),강원도 삼척시 신기면 환선로 800,종유석과 폭포가 있는 거대한 지하 동굴로 모노레일이 다니고 자유 투어가 가능합니다.,0.0,0.0,3
2,삼척해양레일바이크 용화정거장,강원도 삼척시 근덕면 용화해변길 23,",",0.0,0.0,3
3,환선굴매표소,강원도 삼척시 신기면 대이리,",",0.0,0.0,3
4,삼척해상케이블카 장호역,강원도 삼척시 근덕면 장호항길 12-10 삼척 해상 케이블카 장호 역,",",37.2880132,129.31864714448642,3
5,용굴촛대바위길,강원도 삼척시 근덕면 초곡리 20-42,",",0.0,0.0,3
6,삼척해양레일바이크 궁촌정거장,강원도 삼척시 근덕면 공양왕길 2,",",0.0,0.0,3
7,삼척해변역,강원도 삼척시 갈천동 수로부인길 542,해안 철도의 남쪽 종착역으로 모래와 서핑을 즐길 수 있는 삼척해변 근처에 있습니다.,0.0,0.0,3
8,삼척 대이리 동굴지대,강원도 삼척시 신기면 대이리 산117,",",0.0,0.0,3
9,삼척 오십천변 장미공원,강원도 삼척시 정상동 416,",",0.0,0.0,3
10,삼척모노레일,강원도 삼척시 신기면 대이리 102-3,",",0.0,0.0,3
11,죽서루,강원도 삼척시 신기면 대이리 102-3,",",37.44107985,129.16076593597393,3
12,내평계곡,강원도 삼척시 근덕면 동막리,",",0.0,0.0,3
13,강원종합박물관,강원도 삼척시 신기면 강원남부로 3016,",",37.3511951,129.0865739,3
