index,name,address,description,latitude,longitude,level
0,두타연,강원도 양구군 방산면 고방산리 1019,",",38.2726591,127.9939994,1
1,을지전망대,강원도 양구군 해안면 후리 621,",",38.328426,128.1270817,1
2,제4땅굴,강원도 양구군 해안면 땅굴로 454,",",38.31951305,128.11039121758975,1
3,광치계곡유원지,강원도 양구군 남면 가오작리,",",0.0,0.0,1
4,용소 빙장,강원도 양구군 남면 가오작리 1092-2,",",0.0,0.0,1
5,국토정중앙천문대,강원도 양구군 남면 국토정중앙로 127 KR,",",38.0689403,128.0297855,1
6,수입천,강원도 양구군 방산면 건솔리,",",0.0,0.0,1
7,해안야생화공원 (야생화원료 체험장),강원도 양구군 해안면 펀치볼로 1085 KR,",",0.0,0.0,1
8,박수근미술관,강원도 양구군 양구읍 정림리 131-1 박수근로265-15,",",38.0963521,127.981444,1
9,DMZ펀치볼둘레길,강원도 양구군 해안면 후리 621,",",0.0,0.0,1
10,광치자연휴양림,강원도 양구군 남면 가오작리 5-1,",",38.145174,128.07167,1
11,양구선사박물관,강원도 양구군 남면 가오작리 5-1,",",38.1235988,127.9904467,1
12,양구 인문학박물관,강원도 양구군 양구읍 동수리 100-1 파로호로869번길 101,",",0.0,0.0,1
13,양구군관광안내소,강원도 양구군 양구읍 상리 313,",",0.0,0.0,1
