index,name,address,description,latitude,longitude,level
0,하조대,강원도 양양군 현북면 하광정리 산3,",",38.0218906,128.7200421,4
1,낙산사,강원도 양양군 강현면 낙산사로 100,석조 동굴에 처음 건축된 이후 여러 번 재건된 역사적인 불교 사원 단지입니다.,38.1246283,128.6283335,4
2,오색약수터,강원도 양양군 서면 오색리 481-1,",",0.0,0.0,4
3,죽도해변,강원도 양양군 현남면 인구리,",",37.9727282,128.7606168,4
4,주전골,강원도 양양군 서면 오색리 460,",",0.0,0.0,4
5,휴휴암,강원도 양양군 현남면 광진리 1,",",37.9610367,128.768413,4
6,낙산도립공원,강원도 양양군 강현면 주청리,",",38.113537,128.637169,4
7,둔전계곡,강원도 양양군 강현면 둔전리,",",0.0,0.0,4
8,의상대(義湘臺),강원도 양양군 강현면 전진리 100,",",0.0,0.0,4
9,양양,강원도 양양군 현북면 법수치길 198,",",38.0751,128.6191,4
10,오산리 선사유적박물관 ( Osan-ri Prehistory Museum ),강원도 양양군 손양면 학포길 33,",",0.0,0.0,4
11,법수치계곡,강원도 양양군 손양면 학포길 33,",",37.904146,128.614464,4
12,모노골산림욕장,강원도 양양군 양양읍 내곡리,",",0.0,0.0,4
13,송천떡마을영농조합법인,강원도 양양군 서면 송천리 178,",",0.0,0.0,4
