index,name,address,description,latitude,longitude,level
0,영월 선돌,강원도 영월군 영월읍 방절리 산122,",",37.2057245,128.4330626,2
1,영월 한반도 지형,강원도 영월군 한반도면 한반도로 555,",",0.0,0.0,2
2,별마로천문대,강원도 영월군 영월읍 영흥리 154-3,",",37.193393,128.495475,2
3,단종유배지(청령포),강원도 영월군 남면 광천리 산 67-1,",",0.0,0.0,2
4,고씨동굴,강원도 영월군 김삿갓면 진별리 산262-1,",",37.1305093,128.5357498,2
5,장릉,강원도 영월군 영월읍 단종로 190,",",37.1952294,128.4545672,2
6,김삿갓계곡,강원 영월군 하동면 와석리,",",0.0,0.0,2
7,내리계곡,강원도 영월군 김삿갓면 내리,",",0.0,0.0,2
8,엄둔계곡,강원도 영월군 수주면 도원리,",",0.0,0.0,2
9,라디오스타 박물관,강원도 영월군 영월읍 금강공원길 84-3,",",0.0,0.0,2
10,서강,강원도 영월군 영월읍 방절리 241-16,",",37.1974527,128.3982234,2
11,한반도 뗏목마을,강원도 영월군 영월읍 방절리 241-16,",",0.0,0.0,2
12,연하계곡,강원도 영월군 영월읍 연하리,",",0.0,0.0,2
13,용소폭포,강원도 영월군 영월읍 연하리,",",38.0844354,128.4301881,2
