index,name,address,description,latitude,longitude,level
0,간현관광지,강원도 원주시 지정면 소금산길 26,",",37.3643862,127.8332977,5
1,소금산 출렁다리,강원도 원주시 지정면 소금산길 12,"발밑에서 흔들리는 유명한 출렁다리에서 숲, 협곡, 산의 모습이 장관을 이룹니다.",37.3683716,127.8247346,5
2,원주레일파크,강원도 원주시 지정면 간현로 163,",",0.0,0.0,5
3,반계리 은행나무,강원도 원주시 문막읍 반계리 1496-1 KR,",",0.0,0.0,5
4,원주 강원감영,강원도 원주시 원일로 77,",",37.3486997,127.9499616,5
5,소금산 그랜드밸리,강원도 원주시 지정면 소금산길 12,",",0.0,0.0,5
6,뮤지엄 산,강원도 원주시 지정면 오크밸리2길 260,현대 미술 작품과 조각이 전시되어 있는 아름다운 박물관으로 고요한 산 속에 자리하고 있습니다.,0.0,0.0,5
7,원주 구룡사 보광루,강원도 원주시 소초면 학곡리 1029,",",0.0,0.0,5
8,소금산 울렁다리,강원도 원주시 지정면 소금산길 14,",",0.0,0.0,5
9,간현국민관광지번영회,강원도 원주시 지정면 간현리 1108,",",0.0,0.0,5
10,나오라쇼,강원도 원주시 소금산길 12 소금산 그랜드밸리,",",0.0,0.0,5
11,영원사,강원도 원주시 소금산길 12 소금산 그랜드밸리,",",37.30540365,128.0307644680044,5
12,원주시역사박물관,강원도 원주시 봉산로 134,",",0.0,0.0,5
13,원주중앙시장,강원도 원주시 중앙시장길 6,",",0.0,0.0,5
