index,name,address,description,latitude,longitude,level
0,아침가리계곡,강원도 인제군 기린면 추대길 58,",",0.0,0.0,3
1,원대리 자작나무 숲,강원도 인제군 인제읍 원대리 581,수천 그루의 흰 자작나무가 있는 숲으로 등산로가 있으며 눈 덮인 겨울에 특히 유명합니다.,0.0,0.0,3
2,십이선녀탕계곡,강원도 인제군 북면 용대리 1330-2,",",0.0,0.0,3
3,합강정,강원도 인제군 인제읍 합강리 221-12,",",38.0769814,128.18638042087275,3
4,비밀의 정원,강원도 인제군 남면 갑둔리 산122-3,",",0.0,0.0,3
5,인제 원대리 자작나무 숲,강원도 인제군 인제읍 원대리 산75,",",0.0,0.0,3
6,내린천계곡,강원도 인제군 기린면 북리,",",0.0,0.0,3
7,인제산촌민속박물관,강원도 인제군 인제읍 상동리 415-1,",",38.0626347,128.1715485,3
8,방동약수터,강원도 인제군 기린면 방동리 34-5,",",0.0,0.0,3
9,매바위인공폭포,강원도 인제군 북면 용대리 1719,",",0.0,0.0,3
10,대승폭포,강원도 인제군 북면 한계리,",",0.0,0.0,3
11,인제문화관광,강원도 인제군 인제읍 인제로187번길 8,",",0.0,0.0,3
12,백담사(百潭寺),강원도 인제군 북면 백담로 746,템플 스테이를 이용할 수 있는 7세기에 지어진 조용한 불교 사찰입니다.,0.0,0.0,3
13,추대계곡,강원도 인제군 기린면 진동리,",",0.0,0.0,3
