index,name,address,description,latitude,longitude,level
0,고석정,강원도 철원군 동송읍 태봉로 1825,",",38.11296,127.17295,2
1,철원 평화전망대,강원도 철원군 동송읍 중강리 588-14,",",38.30932265,127.2512349617782,2
2,삼부연폭포,강원도 철원군 갈말읍 삼부연로 216,",",0.0,0.0,2
3,철원 한탄강 주상절리길,강원도 철원군 갈말읍 군탄리 산171,",",0.0,0.0,2
4,직탕폭포,강원도 철원군 동송읍 장흥리,",",38.209973,127.2661009,2
5,한탄강 잔도(棧道) 주상절리길,강원도 철원군 갈말읍 순담길,",",0.0,0.0,2
6,월정리역(月井里驛),강원도 철원군 철원읍 두루미로 1882,",",0.0,0.0,2
7,철원 제2땅굴,강원도 철원군 동송읍 이길리 47,",",0.0,0.0,2
8,송대소,강원도 철원군 갈말읍 상사리,",",0.0,0.0,2
9,철원 한탄강 주상절리길 드르니 매표소,강원도 철원군 갈말읍 군탄리 산174-3,",",0.0,0.0,2
10,매월대폭포,강원도 철원군 근남면 잠곡리,",",0.0,0.0,2
11,철원 한탄강 주상절리길 순담 매표소,강원도 철원군 갈말읍 군탄리 산78-2,",",0.0,0.0,2
12,순담계곡,강원도 철원군 갈말읍 군탄리,",",38.174531,127.2999877,2
13,고석정랜드,강원도 철원군 동송읍 장흥리 20-1,",",0.0,0.0,2
