,0,1,2
0,남이섬,강원도 춘천시 남산면 남이섬길 1,"울창한 숲 속에 갤러리, 박물관, 무대가 있으며 늘 축제가 펼쳐지는 그림 같은 생태 관광지입니다."
1,소양강스카이워크,강원도 춘천시 영서로 2675,"철제 난간이 달린 투명한 유리 보도로, 의암호 위에 다리 모양으로 뻗어 있습니다."
2,춘천물레길,강원도 춘천시 송암동 644-23,","
3,소양호,강원도 춘천시 신북읍,","
4,강촌레일파크 김유정레일바이크,강원도 춘천시 신동면 김유정로 1383,친환경 명소로 경치가 좋은 지역의 폐쇄된 철로를 이용하여 레일바이크 투어를 제공합니다.
5,공지천 유원지,강원도 춘천시 근화동,","
6,의암호 스카이워크,강원도 춘천시 칠전동 486,","
7,춘천중도물레길,강원도 춘천시 삼천동 468-2,","
8,청평사,강원도 춘천시 북산면 오봉산길 810,산비탈에 자리한 재건된 10세기 사원으로 선명하게 칠한 외관이 돋보이며 잘 관리된 정원이 있습니다.
9,육림고개,강원도 춘천시 약사명동 25-3,","
10,소양강처녀상,강원도 춘천시 근화동 영서로 2675,","
11,제이드가든 수목원,강원도 춘천시 남산면 햇골길 80,"다양한 테마 구역, 인공 폭포, 카페 등이 있는 유럽 스타일의 대형 정원입니다."
12,청평사계곡,강원도 춘천시 북산면 청평리,","
13,춘천 삼악산 호수케이블카 (하부정차장),강원도 춘천시 삼천동 392,","
