index,name,address,description,latitude,longitude,level
0,구문소,강원도 태백시 동태백로 11,",",37.1000851,129.0222202,2
1,바람의 언덕,강원도 태백시 창죽동 9-384,",",0.0,0.0,2
2,철암 탄광역사촌,강원도 태백시 철암동 403-59,",",0.0,0.0,2
3,태백 용연굴,강원도 태백시 화전동,",",0.0,0.0,2
4,검룡소(儉龍沼) - 한강의 발원지,강원도 태백시 검룡소길,",",0.0,0.0,2
5,매봉산,강원도 태백시 창죽동 9-385,",",37.5447166,127.0089896,2
6,365세이프타운,강원도 태백시 평화길 15 (한국청소년안전체험관),",",37.1002958,129.024,2
7,태백석탄박물관,강원도 태백시 소도동 천제단길 195,",",37.1173761,128.9505567753135,2
8,태양의후예 촬영장,강원도 태백시 통동 346-4,",",0.0,0.0,2
9,태백산국립공원,강원도 태백시 혈동 태백산로 4778,",",0.0,0.0,2
10,황지자유시장,강원도 태백시 황지동 38-1,",",0.0,0.0,2
11,태백체험공원,강원도 태백시 황지동 38-1,",",37.1339739,128.97264823329058,2
12,통리탄탄파크,강원도 태백시 통동 산67-1,",",37.1609128,129.0435352,2
13,태백고생대자연사박물관,강원도 태백시 태백로 2249,",",0.0,0.0,2
