index,name,address,description,latitude,longitude,level
0,허브나라농원,강원도 평창군 봉평면 흥정계곡길 225,",",37.6375925,128.3407907,4
1,대관령양떼목장,강원도 평창군 대관령면 대관령마루길 483-32,"넓은 산책로, 스낵바, 화장실이 있으며 동물 먹이 주기를 체험할 수 있는 목가적인 양 목장입니다.",0.0,0.0,4
2,흥정계곡,강원도 평창군 봉평면 흥정리,",",37.609508,128.373139,4
3,이효석 문화마을,강원도 평창군 봉평면 창동리,",",0.0,0.0,4
4,봉평 메밀꽃밭,강원도 평창군 봉평면 원길리 262-10,",",0.0,0.0,4
5,금당계곡,강원도 평창군 대화면 개수리,",",37.485101,128.392647,4
6,오대산국립공원,강원도 평창군 진부면 오대산로 2,"1,563m 높이의 산, 등산로, 캠핑장, 기본형 숙박 시설이 있고 다양한 동식물을 만날 수 있는 국립공원입니다.",37.7874381,128.5670892,4
7,효석달빛언덕,강원도 평창군 봉평면 창동리 575-3,",",0.0,0.0,4
8,대관령 하늘목장,강원도 평창군 대관령면 횡계리 470-5,",",0.0,0.0,4
9,메밀꽃,강원도 평창군 봉평면 원길리 724-1,",",0.0,0.0,4
10,상원사(上院寺),강원도 평창군 진부면 오대산로 1211-14,",",0.0,0.0,4
11,이효석문학관,강원도 평창군 봉평면 효석문학길 73-25,",",37.6125941,128.3683187,4
12,육백마지기,강원도 평창군 봉평면 효석문학길 73-25,",",0.0,0.0,4
13,원당계곡,강원도 평창군 평창읍 원당리,",",0.0,0.0,4
