index,name,address,description,latitude,longitude,level
0,홍천 은행나무숲,강원도 홍천군 내면 광원리 686-4,",",37.82925595,128.46641486007417,4
1,수타사계곡,강원도 홍천군 동면 덕치리,",",37.698679,127.957681,4
2,팔봉산 관광지,강원도 홍천군 서면 어유포리,",",0.0,0.0,4
3,살둔계곡,강원도 홍천군 내면 율전리,",",0.0,0.0,4
4,용소계곡,강원도 홍천군 두촌면,",",0.0,0.0,4
5,대한불교조계종 수타사,강원도 홍천군 동면 수타사로 473,",",0.0,0.0,4
6,오션월드,강원도 홍천군 서면 한치골길 262,"대형 워터슬라이드, 파도풀, 간이 식당을 갖춘 넓은 규모의 워터파크입니다.",37.6491952,127.68593690553978,4
7,알파카월드,강원도 홍천군 화촌면 풍천리 310,알파카와 사슴을 만날 수 있고 조류 사육장과 푸드코트가 있는 넓고 푸르른 공원입니다.,0.0,0.0,4
8,테마파크,강원도 홍천군 서석면 구룡령로 2800-22,",",36.5994176,128.20207438343732,4
9,남노일강변,"Gangwon-do, 홍천군 남면 남노일리",",",0.0,0.0,4
10,마곡유원지,강원도 홍천군 서면 마곡리 15-1,",",0.0,0.0,4
11,서봉사계곡,강원도 홍천군 서석면 검산리,",",0.0,0.0,4
12,홍천생명건강과학관,강원도 홍천군 서석면 검산리,",",37.682672,127.876595,4
13,개야리유원지,강원도 홍천군 서면 개야리 112,",",0.0,0.0,4
