index,name,address,description,latitude,longitude,level
0,국립청태산자연휴양림,강원도 횡성군 둔내면 청태산로 610,",",0.0,0.0,4
1,횡성댐,강원도 횡성군 갑천면 대관대리 43-1,",",37.5438313,128.03148773637312,4
2,고라데이마을,강원도 횡성군 청일면 봉명리,",",0.0,0.0,4
3,신대계곡,강원도 횡성군 청일면 신대리,",",0.0,0.0,4
4,부곡계곡,강원도 횡성군 강림면 부곡리,",",0.0,0.0,4
5,노아의 숲,강원도 횡성군 갑천면 화전리 218 KR,",",0.0,0.0,4
6,횡성루지체험장,강원도 횡성군 우천면 전재로 407 KR,",",0.0,0.0,4
7,횡성 호수길 제5구간,강원도 횡성군 갑천면 구방리,",",0.0,0.0,4
8,횡성자연휴양림,강원도 횡성군 갑천면 정포로430번길 113,",",0.0,0.0,4
9,횡성전통시장,강원도 횡성군 횡성읍 읍상리 277-3,",",37.4893277,127.98746533972724,4
10,운암정,강원도 횡성군 횡성읍 읍하리 산7-2,",",37.4559169,127.0085836,4
11,자작나무숲미술관,강원도 횡성군 우천면 한우로두곡5길 186,",",0.0,0.0,4
12,천주교 풍수원 성당,강원도 횡성군 우천면 한우로두곡5길 186,",",0.0,0.0,4
13,국립횡성숲체원,강원도 횡성군 둔내면 청태산로 777,",",0.0,0.0,4
