,0,1,2
0,쁘띠프랑스,경기도 가평군 청평면 호반로 1063,"전통 가옥, 마리오네트 쇼, '어린 왕자' 갤러리가 있는 진기한 프랑스풍의 마을입니다."
1,가평레일파크,경기도 가평군 가평읍 장터길 14,철로에 고정된 형태로 강을 건너고 느티나무 터널을 지나는 자전거입니다.
2,남이섬,강원도 춘천시 남산면 남이섬길 1,"울창한 숲 속에 갤러리, 박물관, 무대가 있으며 늘 축제가 펼쳐지는 그림 같은 생태 관광지입니다."
3,자라섬,경기도 가평군 가평읍 대곡리,","
4,아침고요수목원,경기도 가평군 상면 수목원로 432,"테마 공간을 갖추고 있으며, 꽃과 식물이 가득한 고요한 정원을 지나는 산책로가 있습니다."
5,에덴벚꽃길,경기도 가평군 청평면 큰매골로 92,","
6,대성리국민관광지,경기도 가평군 청평면 대성리 395-3,","
7,명지계곡,경기도 가평군 북면 도대리,","
8,유명산 자연휴양림,경기도 가평군 설악면 유명산길 79-53,","
9,조종천계곡,경기도 가평군 상면 덕현리,","
10,조무락 계곡 폭포,경기도 가평군 북면 조무락골길,","
11,나인포레스트 이화원,경기도 가평군 북면 조무락골길,","
12,명지폭포,경기도 가평군 북면 도대리,","
13,호명산 잣나무숲,"주변, 산392 상천리 청평면 가평군 경기도",","
