index,name,address,description,latitude,longitude,level
0,수리사,경기도 군포시 속달동 329,",",37.3540156,126.89680866750491,4
1,반월호수공원,경기도 군포시 둔대동 458-2,",",37.32402275,126.88931648099827,4
2,당정근린공원,경기도 군포시 당정동,",",37.34389295,126.9470879535246,4
3,능안공원,경기도 군포시 산본동,",",37.48828425,127.14414609981586,4
4,나무재 집,경기도 군포시 산본동 산본천로217번길 74,",",0.0,0.0,4
5,산본중앙공원,경기도 군포시 산본동 광정로 96,",",0.0,0.0,4
6,수리산 관모봉,경기도 군포시 광정동,",",0.0,0.0,4
7,산본역광장분수대,경기도 군포시 광정동 1180,",",0.0,0.0,4
8,초막골생태공원,경기도 군포시 산본동,",",37.3500391,126.91862773393764,4
9,철쭉공원,경기도 군포시 산본동 1153,",",37.3544734,126.9260405,4
10,군포 동래정씨 동래군파 종택,경기도 군포시 속달동 24-4,",",0.0,0.0,4
11,수리산 태을봉,경기도 군포시 산본동 산44-1,",",0.0,0.0,4
12,누리천문대,경기도 군포시 산본동 산44-1,",",37.3302539,126.9156001,4
13,파고다관광,금정동 874-2번지 2층 군포시 경기도 KR,",",0.0,0.0,4
