index,name,address,description,latitude,longitude,level
0,문수산산림욕장,경기도 김포시 월곶면 성동리 산35-1,",",0.0,0.0,5
1,김포함상공원,경기도 김포시 대곶면 대명항1로 110-36,",",0.0,0.0,5
2,김포에코센터,경기도 김포시 김포2동 김포한강11로 455,",",0.0,0.0,5
3,걸포중앙공원,경기도 김포시 걸포동 1550-1,",",37.636537,126.7081572,5
4,김포국제조각공원,경기도 김포시 월곶면 고막리 435-14,",",0.0,0.0,5
5,장릉,경기도 김포시 장릉로 79,",",37.1952294,128.4545672,5
6,한강신도시 호수공원,경기도 김포시 마산동 617-2,",",0.0,0.0,5
7,죽도,경기도 김포시 걸포동 423-19,",",33.5386487,126.6275246,5
8,당산미,경기도 김포시 고촌읍 풍곡리 산26,",",0.0,0.0,5
9,염하강철책길 입구,경기도 김포시 대곶면 대명리 5170-10,",",0.0,0.0,5
10,모담산 정상,경기도 김포시 김포2동 산13-1,",",0.0,0.0,5
11,애기봉,경기도 김포시 하성면 평화공원로 139,",",35.8021226,128.64326,5
12,김포레코파크,경기도 김포시 하성면 평화공원로 139,",",0.0,0.0,5
13,김포 덕포진 교육 박물관,경기도 김포시 대곶면 덕포진로103번길 90,",",0.0,0.0,5
