index,name,address,description,latitude,longitude,level
0,경기도 수원화성,경기도 수원시 장안구 영화동 320-2,도시의 구시가 중심부를 둘러싸고 있는 18세기 도시 성벽으로 원래 48개 구조물로 구성되어 있습니다.,37.2867876,127.0114366,5
1,화령전,경기도 수원시 팔달구 신풍로23번길 15,"정조의 어진 즉 초상화를 모시고 제사지내던 곳이다. 일부 공간은 복원했으나 전체적으로 원형이 잘 남아 있다.",37.28327315,127.0124017482498,5
2,화성행궁,경기도 수원시 팔달구 남창동 행궁로 11,"요새 속에 자리 잡은 복원된 1789년 궁전으로 방문객 센터, 극장, 전시관이 있습니다.",37.2818419,127.0137108,5
5,나혜석거리,경기도 수원시 팔달구 인계동 1119,"수원 태생인 최초의 한국 여성 서양화가 정월 나혜석 여사의 업적을 기리기 위해 조성된 약 300m가량의 문화 거리로 문화예술회관, 효원공원, 야외 음악당 등을 연결하는 공간으로 이루어져 있다.",37.2638858,127.03467578100032,5
8,광교호수공원,경기도 수원시 영통구 하동 광교호수로 57,"호수와 숲이 있는 도심 공원으로 암벽 등반장, 인공 폭포, 야외 무대 등을 갖추고 있습니다.",37.28341215,127.06650990800644,5
9,화서문,경기도 수원시 팔달구 장안동 334,"중국성의 모습을 본뜨기는 했지만 과학적인 방법으로 성을 쌓아 훨씬 발달한 모습을 하며 한국 성곽을 대표하는 뛰어난 유적이다.",37.28562175,127.00974132544424,5
10,팔달문,경기도 수원시 팔달구 정조로 780,거대한 18세기 후반 화성의 남문으로 2층 구조의 목재 건축물이 있습니다.,37.27758145,127.01676137077628,5
11,수원화성박물관,경기도 수원시 팔달구 창룡대로 21,수원화성에서 발견된 유물을 소장한 박물관으로 축성 관련 전시와 화성 부지의 모형을 볼 수 있습니다.,37.2827193,127.01889567994591,5
12,장안문,경기도 수원시 팔달구 장안동 정조로 910,18세기 후반의 웅장한 성문으로 거대한 석재 기단부 위에 곡선 지붕을 얹은 형태입니다.,37.288862550000005,127.01428002299843,5
13,창룡문,경기도 수원시 팔달구 장안동 정조로 910,18세기 후반의 웅장한 성문으로 거대한 석재 기단부 위에 곡선 지붕을 얹은 형태입니다.,37.2878386,127.02519255,5
