index,name,address,description,latitude,longitude,level
0,안성맞춤랜드,경기도 안성시 보개면 남사당로 198,",",37.032398,127.31075277552836,5
1,안성맞춤박물관,경기도 안성시 대덕면 서동대로 4726-15,",",37.0111431,127.2283965,5
2,안성팜랜드,경기도 안성시 공도읍 웅교리,",",36.9918264,127.1943213,5
3,박두진 문학길,경기도 안성시 금광면 현곡리 43-6,",",0.0,0.0,5
4,천주교 미리내 성지,경기도 안성시 양성면 미리내성지로 420,",",0.0,0.0,5
5,석남사,경기도 안성시 금광면 상촌새말길 3-120,",",0.0,0.0,5
6,안성남사당공연장,경기도 안성시 보개면 남사당로 198,",",0.0,0.0,5
7,안성맞춤가족공원,경기도 안성시 공도읍 대림동산길 36,",",37.0139374,127.20313492508014,5
8,청원사,경기도 안성시 원곡면 성은리 397,",",0.0,0.0,5
9,중앙대학교 키스로드,경기도 안성시 대덕면 서동대로 4726,",",0.0,0.0,5
10,운수암,경기도 안성시 양성면 방신리 85,",",37.0363265,127.16994931608926,5
11,박두진문학길,경기도 안성시 금광면 동신곡길,",",0.0,0.0,5
12,서운산성,경기도 안성시 금광면 동신곡길,",",0.0,0.0,5
13,솔밭공원,경기도 안성시 안성맞춤대로 1143 (금산동),",",37.6560698,127.0132485,5
