index,name,address,description,latitude,longitude,level
0,한탄강 관광지,경기도 연천군 전곡읍 전곡리 691-2,",",0.0,0.0,3
1,허브빌리지(HERBVILLAGE),경기도 연천군 왕징면 북삼리 222,",",0.0,0.0,3
2,재인폭포,경기도 연천군 연천읍 부곡리 220,",",38.068896,127.133054,3
3,열쇠전망대,경기도 연천군 신서면 마전리,",",0.0,0.0,3
4,역고드름,경기도 연천군 신서면 대광리 산173,",",38.2374398,127.1604033,3
5,동막리 응회암,경기도 연천군 연천읍,",",0.0,0.0,3
6,연천전곡리유적(연천국화축제장),경기도 연천군 전곡읍 전곡리 515,",",0.0,0.0,3
7,전곡선사박물관,경기도 연천군 전곡읍 평화로443번길 2,",",0.0,0.0,3
8,연천 계곡,연천군 35구,",",0.0,0.0,3
9,초성김치마을,경기도 연천군 청산면 평화로 209,",",0.0,0.0,3
10,연천 숭의전지,경기도 연천군 미산면 아미리 7,",",0.0,0.0,3
11,백의리층,경기도 연천군 미산면 아미리 7,",",0.0,0.0,3
12,연천 코스모스 축제장,경기도 연천군 연천읍 차탄리 129-4,",",0.0,0.0,3
13,열두개울계곡,경기도 연천군 청산면 초성리,",",0.0,0.0,3
