index,name,address,description,latitude,longitude,level
0,궐리사,경기도 오산시 궐동 147,",",37.1592095,127.0590315,5
1,오산 미니어처 빌리지,경기도 오산시 내삼미동 250,",",0.0,0.0,5
2,물향기수목원,경기도 오산시 청학로 211,",",0.0,0.0,5
3,오산 에코리움,경기도 오산시 오산동 768-1,",",0.0,0.0,5
4,독산성,오산시 지곶동 162-1,",",37.182381,127.0206152,5
5,고인돌공원,경기도 오산시 금암동,",",34.77196995,127.70070295839716,5
6,오산맑음터공원,경기도 오산시 오산동 750,",",0.0,0.0,5
7,세마대,경기도 오산시 지곶동 155,",",37.1897702,127.046569,5
8,죽미체육공원,경기도 오산시 금암동,",",37.1795923,127.04245179276268,5
9,유엔군 초전기념관,경기도 오산시 경기대로 742,",",37.1844859,127.0491693,5
10,남촌동 벽화마을,경기도 오산시 남촌동 502-56,",",0.0,0.0,5
11,보적사﻿(寶積寺),경기도 오산시 지곶동 150,",",0.0,0.0,5
12,오산 죽미령 평화공원,경기도 오산시 지곶동 150,",",0.0,0.0,5
13,오산버드파크,경기도 오산시 오산동 915,",",0.0,0.0,5
