index,name,address,description,latitude,longitude,level
0,용인대장금파크,경기도 용인시 처인구 백암면 용천리 778-1,"삼국, 고려, 조선시대 건축물이 있고 방문객에게 공개된 야외 영화 세트장입니다.",0.0,0.0,5
1,한국민속촌,경기도 용인시 기흥구 민속촌로 90 KR,한국의 전통 가옥과 관습을 소개하는 민속박물관으로 식당과 테마파크를 갖추고 있습니다.,37.2594792,127.12104227415816,5
2,보정동 카페거리,경기도 용인시 기흥구 보정동 죽전로15번길 12,",",0.0,0.0,5
3,용인농촌테마파크,경기도 용인시 원삼면 농촌파크로 80-1,",",37.1724946,127.29741112534226,5
4,가실벚꽃길,경기도 용인시 처인구 포곡읍 가실리 190-15,",",0.0,0.0,5
5,할미산성,경기도 용인시 기흥구 동백동 산23-1,",",0.0,0.0,5
6,에버랜드,경기도 용인시 처인구 포곡읍 에버랜드로 199,에버랜드의 다른 구역으로 이동할 수 있는 출발 지점으로 선물 가게와 편안한 분위기의 레스토랑이 모여 있습니다.,37.2938764,127.2048444,5
7,호암미술관,경기도 용인시 처인구 포곡읍 에버랜드로562번길 38,에버랜드 리조트에 있는 한국화 미술관으로 아름다운 정원이 있습니다.,37.2939537,127.1917462,5
8,동백호수공원,경기도 용인시 기흥구 중동 동백5로 12,",",37.2753108,127.15025916819354,5
9,용인자연휴양림,경기도 용인시 처인구 모현면 초부로 220,",",37.314748449999996,127.26722580721852,5
10,와우정사(臥牛精舍),경기도 용인시 처인구 해곡로 25-15,",",0.0,0.0,5
11,한터계곡,경기도 용인시 처인구 해곡로 25-15,",",0.0,0.0,5
12,한택식물원,경기도 용인시 처인구 백암면 옥산리 365,",",37.0950874,127.4065003,5
13,기흥레스피아호수공원,경기도 용인시 기흥구 하갈동 114-4,",",0.0,0.0,5
