index,name,address,description,latitude,longitude,level
0,원평허브농원,경기도 화성시 매송면 매봉로 40-16,",",0.0,0.0,5
1,당성,경기도 화성시 서신면 상안리 산32,",",37.2011429,126.7080086,5
2,궁평유원지,경기도 화성시 서신면 궁평리,",",0.0,0.0,5
3,궁평리해수욕장,경기도 화성시 서신면 궁평리 660-41,",",0.0,0.0,5
4,우리꽃식물원,경기도 화성시 팔탄면 3.1만세로 777-17,",",0.0,0.0,5
5,백미항,경기도 화성시 서신면 백미길 210-34,",",0.0,0.0,5
6,매바위,경기도 화성시 서신면 해안길,",",37.4287019,127.044616,5
7,만의사,경기도 화성시 풀무골로 219,",",37.2091437,127.1493561,5
8,화성시 비봉습지공원,경기도 화성시 비봉면 유포리 619,",",0.0,0.0,5
9,제부도 바닷길,경기도 화성시 서신면 해안길 348,",",0.0,0.0,5
10,행복텃밭,경기도 화성시 매송면 어천리 598-1,",",0.0,0.0,5
11,서봉산산림욕장,경기도 화성시 정남면 문학리,",",0.0,0.0,5
12,경기도 수원화성,경기도 화성시 정남면 문학리,",",37.2867876,127.0114366,5
13,천주교 남양 성모 성지 (The Shrine of Our Lady of the Rosary of Namyang),경기도 화성시 남양동 1704 KR,",",0.0,0.0,5
