,0,1,2
0,다랭이마을,경상남도 남해군 남면 남면로679번길 21,해안가 마을의 언덕에 자리한 매력적인 카페로 커피와 아름다운 경관을 자랑합니다.
1,남해보물섬전망대&클리프워크,경상남도 남해군 삼동면 물건리 1048-3 KR,","
2,남해양떼목장 양모리학교,경상남도 남해군 설천면 설천로775번길 256-17 (설천면),","
3,남해독일마을,경상남도 남해군 삼동면 물건리 1074-2,","
4,섬이정원,경상남도 남해군 남면 남면로 1534-110,","
5,남해 창선도 왕후박나무,경상남도 남해군 창선면 대벽리 699-1,","
6,남해토피아랜드,경상남도 남해군 창선면 지족리 588-1,","
7,남해나비생태공원,경상남도 남해군 삼동면 금암로 562-23,","
8,대한불교조계종 보리암(菩提庵),경상남도 남해군 상주면 보리암로 665,산봉우리에 있는 수백 년 된 불교 사찰로 조각된 나무 제단과 석상이 있으며 바다 풍경을 감상할 수 있습니다.
9,부소암,경상남도 남해군 상주면 양아리 산1-1,","
10,남해 미국마을,경상남도 남해군 이동면 KR 미국마을 13,","
11,도이처플라츠(독일광장),경상남도 남해군 삼동면 봉화리 2572,","
12,창선도,경상남도 남해군 삼동면 봉화리 2572,","
13,상상양떼목장&편백숲,경상남도 남해군 설천면 문의리 산187-1 KR 상상양떼목장 편백숲,","
