index,name,address,description,latitude,longitude,level
0,얼음골,경상남도 밀양시 산내면 남명리 산95-2,",",35.6948506,126.6418022,4
1,밀양댐,경상남도 밀양시 단장면 고례리 산388-15,",",35.4833395,128.93188167784857,4
2,트윈터널,경상남도 밀양시 삼랑진읍 삼랑진로 537-11,",",0.0,0.0,4
3,호박소계곡,경상남도 밀양시 산내면,",",0.0,0.0,4
4,의열기념관,경상남도 밀양시 내이동 901,",",0.0,0.0,4
5,밀양 연꽃단지,경상남도 밀양시 부북면 가산리 22-5,",",0.0,0.0,4
6,종남산,경상남도 밀양시 상남면 남산리 산181-1,",",35.448468,128.7220842,4
7,영남루,경상남도 밀양시 중앙로 324,",",37.2061453,127.5434439,4
8,삼문송림,경상남도 밀양시 삼문동 4-3,",",35.48671,128.75805554070536,4
9,밀양 사명대사 생가지,경상남도 밀양시 무안면 사명대사생가로 642,",",0.0,0.0,4
10,만어사(萬魚寺),경상남도 밀양시 삼랑진읍 용전리 산4,",",0.0,0.0,4
11,층층폭포,경상남도 밀양시 삼랑진읍 용전리 산4,",",0.0,0.0,4
12,밀양해천,경상남도 밀양시 내일동 515-74,",",0.0,0.0,4
13,미리미동국,경상남도 밀양시 내이동 남천강변로3길 3-2,",",0.0,0.0,4
