index,name,address,description,latitude,longitude,level
0,사천거북선마을,경상남도 사천시 용현면 주문리 733,",",0.0,0.0,4
1,사천 무지개 해안도로,경상남도 사천시 용현면 금문리 212-3,",",0.0,0.0,4
2,수양공원,경상남도 사천시 사천읍 선인리 581,",",0.0,0.0,4
3,창선·삼천포대교,경상남도 사천시 대방동 681-9,",",0.0,0.0,4
4,실안낙조,경상남도 사천시 실안동 1254,",",0.0,0.0,4
5,비토섬,경상남도 사천시 서포면 비토리 371,",",0.0,0.0,4
6,부잔교 갯벌탐방로,경상남도 사천시 용현면 석양길 500,",",0.0,0.0,4
7,용소유원지,경상남도 사천시 사남면 종천리,",",0.0,0.0,4
8,노산공원,경상남도 사천시 서금동 101-1,",",34.924022,128.074053,4
9,우천숲,경상남도 사천시 사남면 우천리 1231-1,",",0.0,0.0,4
10,선진공원,경상남도 사천시 용현면 선진리,",",0.0,0.0,4
11,사천 선진리왜성,경상남도 사천시 용현면 선진리 402,",",0.0,0.0,4
12,백천사,경상남도 사천시 용현면 선진리 402,",",35.56832385,129.3327827,4
13,사천 각산봉화대,경상남도 사천시 대방동,",",0.0,0.0,4
