index,name,address,description,latitude,longitude,level
0,의령벽계관광지,경상남도 의령군 궁류면 벽계리 483,",",0.0,0.0,1
1,의령 솥바위,경상남도 의령군 의령읍 남강로 686,",",0.0,0.0,1
2,이병철 생가,경상남도 의령군 정곡면 중교리 723,",",0.0,0.0,1
3,의령구름다리,경상남도 의령군 의령읍 서동리 646-3,",",0.0,0.0,1
4,찰비계곡,경상남도 의령군 궁류면 평촌리,",",0.0,0.0,1
5,의령 봉황대,경상남도 의령군 궁류면 벽계리,",",0.0,0.0,1
6,박진고개,경상남도 의령군 낙서면 전화리,",",35.4545213,128.3681935,1
7,의령 의병박물관,경상남도 의령군 의령읍 충익로 1-25 의병박물관,",",0.0,0.0,1
8,찰비계곡,경상남도 의령군 궁류면 벽계리 산102,",",0.0,0.0,1
9,한우산 설화원,경상남도 의령군 궁류면 벽계리 산230-2,",",0.0,0.0,1
10,봉황산 일붕사,경상남도 의령군 궁류면 청정로 1202-15,",",0.0,0.0,1
11,충익사,경상남도 의령군 의령읍 중동리 467-2,",",35.31516545,128.26116734481892,1
12,전지미,경상남도 의령군 의령읍 중동리 467-2,",",0.0,0.0,1
13,의령 벽화산성지,경상남도 의령군 의령읍 하리 113-2,",",0.0,0.0,1
