index,name,address,description,latitude,longitude,level
0,진주시음악분수대,경상남도 진주시 신안동 271-1,",",0.0,0.0,4
1,망진산봉수대,경상남도 진주시 망경동 산 29-3,",",0.0,0.0,4
2,진주레일바이크 남강레저산업,경상남도 진주시 내동면 독산리 576-5번지 KR,",",0.0,0.0,4
3,진주매화숲,경상남도 진주시 내동면,",",0.0,0.0,4
4,촉석루,경상남도 진주시 남강로 626,",",35.1894442,128.0818148,4
5,경상남도수목원,경상남도 진주시 이반성면 대천리 482-1,",",35.161592,128.295513,4
6,진치령터널,경상남도 진주시 가좌동 1266-2,",",0.0,0.0,4
7,의곡사,경상남도 진주시 상봉동 415-1,",",0.0,0.0,4
8,남가람공원,경상남도 진주시 망경동,",",0.0,0.0,4
9,호국사,경상남도 진주시 남성동 239-5,",",37.7694478,127.1068889,4
10,석류공원,경상남도 진주시 가좌동 산88-7,",",35.16632285,128.10476029701067,4
11,진주성 비석군,경상남도 진주시 남성동,",",0.0,0.0,4
12,진주 의암,경상남도 진주시 본성동 500-1,",",35.1891528,128.0823365,4
13,진주성,경상남도 진주시 성지동 남강로 626,"중세 시대 요새로 1,760m 길이의 바위벽으로 둘러싸여 있으며 정교한 정자와 역사박물관이 있습니다.",35.18874805,128.0776689346623,4
