index,name,address,description,latitude,longitude,level
0,우포늪생태체험장,경상남도 창녕군 대합면 주매리 556-2,",",0.0,0.0,3
1,창녕 화왕산성,경상남도 창녕군 창녕읍 옥천리,",",0.0,0.0,3
2,창녕 석빙고,경상남도 창녕군 창녕읍 송현리 288,",",0.0,0.0,3
3,우포늪생태관,경상남도 창녕군 유어면 우포늪길 220,",",35.54462895,128.41896071889744,3
4,화왕산 억새밭,경상남도 창녕군 창녕읍 옥천리,",",0.0,0.0,3
5,관룡사,경상남도 창녕군 창녕읍 옥천리 292,",",35.561212,128.507838,3
6,옥천계곡,경상남도 창녕군 창녕읍 옥천리,",",0.0,0.0,3
7,우포출렁다리,경상남도 창녕군 이방면 옥천리,",",0.0,0.0,3
8,창녕 교동과 송현동 고분군,경상남도 창녕군 창녕읍 교리,",",0.0,0.0,3
9,대대제방,경상남도 창녕군 유어면 대대리,",",0.0,0.0,3
10,만옥정공원,경상남도 창녕군 창녕읍 교상리 28-22,",",35.54065095,128.50215498540382,3
11,화왕산군립공원,경상남도 창녕군 창녕읍 송현리,",",35.542276,128.519454,3
12,창녕신라진흥왕척경비,경상남도 창녕군 창녕읍 송현리,",",35.5407327,128.5026832,3
13,창녕박물관,경상남도 창녕군 창녕읍 창밀로 34,",",35.545474,128.505147,3
