index,name,address,description,latitude,longitude,level
0,최참판댁,경상남도 하동군 악양면 평사리길 66-7,",",35.1555779,127.68807626398078,3
1,화개장터,경상남도 하동군 화개면 쌍계로 15,",",35.18837935,127.62427994155584,3
2,불일폭포(佛日瀑布),경상남도 하동군 화개면 운수리,",",0.0,0.0,3
3,섬호정,경상남도 하동군 하동읍 읍내리 1528,",",35.0694756,127.7427713,3
4,의신계곡,경상남도 하동군 화개면 대성리,",",0.0,0.0,3
5,동정호,경상남도 하동군 악양면 평사리 305-2,",",39.1037157,127.6978159,3
6,쌍계사,경상남도 하동군 화개면 쌍계사길 59,울창한 산속에 자리한 수백 년 된 불교 사원으로 녹차 밭과 벚꽃길을 감상할 수 있습니다.,35.23257275,127.6500885762384,3
7,청암계곡,경상남도 하동군 청암면 상이리,",",0.0,0.0,3
8,평사리들판,경상남도 하동군 악양면 평사리 239-7,",",0.0,0.0,3
9,하동 플라이웨이 케이블카,경상남도 하동군 금남면 경충로 461-7,",",0.0,0.0,3
10,하동 금오산 봉수대,경상남도 하동군 금남면 중평리,",",0.0,0.0,3
11,하동군지리산생태과학관,경상남도 하동군 금남면 중평리,",",0.0,0.0,3
12,하동 삼성궁,경상남도 하동군 청암면 삼성궁길 2,",",35.2407424,127.7015409,3
13,차시배지,경상남도 하동군 화개면 운수리,",",0.0,0.0,3
