index,name,address,description,latitude,longitude,level
0,함안 무진정,경상남도 함안군 함안면 괴산4길 25,",",0.0,0.0,3
1,악양둑방길,경상남도 함안군 법수면 윤외리 74-4,",",0.0,0.0,3
2,함주공원,경상남도 함안군 가야읍 도항리,",",35.281691300000006,128.40124962232971,3
3,함안 말이산 고분군,경상남도 함안군 가야읍 도항리 583-1,",",0.0,0.0,3
4,함안박물관,경상남도 함안군 가야읍 고분길 153-31,",",35.268941,128.402916,3
5,입곡군립공원,경상남도 함안군 산인면 입곡리 산59,",",0.0,0.0,3
6,악양루(岳陽樓),경상남도 함안군 대산면 서촌리 1345,",",0.0,0.0,3
7,충의공원,경상남도 함안군 가야읍 도항리,",",37.059522,127.0711985761416,3
8,장춘사,경상남도 함안군 칠북면 영동리 14,",",35.3273792,128.55868252128226,3
9,함안 연꽃테마파크,경상남도 함안군 가야읍 가야리 233-1,",",0.0,0.0,3
10,마애사,경상남도 함안군 군북면 하림리,",",0.0,0.0,3
11,함안무기연당,경상남도 함안군 칠원면 무기리 966,",",0.0,0.0,3
12,능가사,경상남도 함안군 칠원면 무기리 966,",",34.63901439999999,127.41428208639137,3
13,서산서원,경상남도 함안군 군북면 원북리 537-2,",",35.2362907,128.32506833430767,3
