index,name,address,description,latitude,longitude,level
0,용추계곡,경상남도 함양군 안의면 상원리,",",35.2395924,128.7003842,2
1,상림공원(上林公園),경상남도 함양군 함양읍 교산리 1047-1,",",0.0,0.0,2
2,거연정,경상남도 함양군 서하면,",",0.0,0.0,2
3,한신계곡,경상남도 함양군 마천면 강청리,",",0.0,0.0,2
4,개평한옥문화체험휴양마을,경상남도 함양군 지곡면 개평리 315-1 지곡면 개평리 315-1번지 함양군 경상남도 KR 50018,",",0.0,0.0,2
5,농월정,경상남도 함양군 안의면 농월정길 9-13,",",0.0,0.0,2
6,동호정,경상남도 함양군 서하면 황산리 842,",",0.0,0.0,2
7,백무동계곡,경상남도 함양군 마천면 강청리,",",0.0,0.0,2
8,용유담,경상남도 함양군 휴천면 모전길,",",0.0,0.0,2
9,아름지기 함양한옥,경상남도 함양군 서하면 봉전길 44-8,",",0.0,0.0,2
10,군자정,경상남도 함양군 서 하면 육십령로 2582,",",0.0,0.0,2
11,지리산조망공원,경상남도 함양군 마천면 구양리,",",0.0,0.0,2
12,지리산제일문,경상남도 함양군 마천면 구양리,",",0.0,0.0,2
13,금대암,경상남도 함양군 마천면 가흥리 17-1,",",0.0,0.0,2
