,0,1,2
0,경산시립박물관,경상북도 경산시 박물관로 46,","
1,삼성산,경상북도 경산시 남산면 상대리 산78,","
2,경산 자인의 계정숲,경상북도 경산시 자인면 서부리 68,","
3,대한불교조계종 선본사(禪本寺),경상북도 경산시 와촌면 대한리 587,","
4,러브로드,경상북도 경산시 갑제동,","
5,기필봉,경상북도 경산시 남천면 송백리 산46,","
6,영남대학교 박물관(A04),경상북도 경산시 북부동 대학로 280,","
7,경산워터파크 펀펀비치,경상북도 경산시 압량면 금구길 23,","
8,삼성역,경상북도 경산시 남천면 삼성역길,","
9,경흥사,경상북도 경산시 남천면 산전리 806,","
10,경산공설시장,경상북도 경산시 경안로 KR 경안로31길19 경안로 31길19,","
11,경산 옥곡동 청동기 시대 유적 공원,경상북도 경산시 옥곡동 829-2,","
12,경산 환성사(環城寺),경상북도 경산시 옥곡동 829-2,","
13,불굴사(佛窟寺),경상북도 경산시 와촌면 강학리 5,","
