index,name,address,description,latitude,longitude,level
0,고령 부례관광지,"471-1 Jisan-ri, 고령읍 고령군 경상북도",",",0.0,0.0,2
1,고령 은행나무숲,경상북도 고령군 다산면 좌학리 969 좌학은행나무숲,",",0.0,0.0,2
2,대가야역사테마관광지,경상북도 고령군 고령읍 대가야로 1216,"역사적인 테마의 명소, 워터파크, 영화관, 공연을 즐길 수 있는 특별한 장소입니다.",0.0,0.0,2
3,대가야 수목원,경상북도 고령군 고령읍 성산로 46,",",0.0,0.0,2
4,대가야박물관,경상북도 고령군 고령읍 대가야로 1203,",",35.733283,128.262916,2
5,고령 고아리 벽화 고분,경상북도 고령군 고령읍 고아리 산13-1,",",0.0,0.0,2
6,고령 주산성,경상북도 고령군 고령읍 내상리,",",0.0,0.0,2
7,우륵박물관,경상북도 고령군 고령읍 가야금길 98,",",0.0,0.0,2
8,예마을,경상북도 고령군 덕곡면 덕운로 816,",",0.0,0.0,2
9,지산동고분군,경상북도 고령군 고령읍 지산리,",",0.0,0.0,2
10,봉이땅엔농장,경상북도 고령군 고령읍 헌문리 43-1,",",0.0,0.0,2
11,대가야왕릉전시관,경상북도 고령군 고령읍 헌문리 43-1,",",35.72240955,128.25642232060343,2
12,개경포 기념공원,경상북도 고령군 개진면 오사리 541-12,",",0.0,0.0,2
13,대가야체험축제장,경상북도 고령군 고령읍 고아리 477-2,",",0.0,0.0,2
