index,name,address,description,latitude,longitude,level
0,화산마을,경상북도 군위군 고로면 화북리 1270-3,",",34.9324877,126.5956941,2
1,사라온 이야기마을,경상북도 군위군 군위읍 동서길 49,",",0.0,0.0,2
2,팔공산 하늘정원,경상북도 군위군 부계면 동산리,",",0.0,0.0,2
3,김수환 추기경 사랑과 나눔공원,경상북도 군위군 군위읍 군위금성로 276,",",0.0,0.0,2
4,리틀포레스트 촬영지,경상북도 군위군 우보면 미성리 927-2,",",0.0,0.0,2
5,일연공원,경상북도 군위군 고로면 화북리,",",36.1194464,128.79098982238153,2
6,동산계곡,경북 군위군 부계면 동산리 일대,",",0.0,0.0,2
7,군위 아미타여래삼존 석굴,경상북도 군위군 부계면 남산리,",",36.04899535,128.6408653803524,2
8,화산산성,경상북도 군위군 고로면 화북리 산230,",",0.0,0.0,2
9,인각사,경상북도 군위군 고로면 삼국유사로 250,",",35.14684925,129.07529515,2
10,군위상매댁,경상북도 군위군 부계면 대율리 768,",",0.0,0.0,2
11,경북대학교 자연사박물관,경상북도 군위군 효령면 경북대로 2228,",",0.0,0.0,2
12,압곡사,경상북도 군위군 효령면 경북대로 2228,",",0.0,0.0,2
13,장곡자연휴양림,경상북도 군위군 고로면 장곡휴양림길 195,",",36.129139,128.837034,2
