index,name,address,description,latitude,longitude,level
0,인현왕후길,경상북도 김천시 증산면 수도길,",",0.0,0.0,4
1,직지문화공원,경상북도 김천시 대항면 운수리 33-1,",",36.11595355,128.01377760671238,4
2,수도암,경상북도 김천시 증산면 수도리 512,",",35.8614714,127.9968067197817,4
3,부항댐 출렁다리,경상북도 김천시 부항면 신옥리 120,",",35.9809316,128.0005615,4
4,김호중 소리길,경상북도 김천시 대신동 820-2,",",0.0,0.0,4
5,김천녹색미래과학관,경상북도 김천시 혁신6로 31,",",0.0,0.0,4
6,용추폭포,경상북도 김천시 증산면 수도길,",",35.6870842,127.7639389,4
7,수도산 자연휴양림,경상북도 김천시 대덕면 증산로 326-71,",",0.0,0.0,4
8,김천세계도자기박물관,경상북도 김천시 대항면 직지사길 11,",",36.116929,128.011021,4
9,불영산 청암사(佛靈山 靑巖寺),경상북도 김천시 증산면 평촌2길 335-48,",",0.0,0.0,4
10,연화지,경상북도 김천시 교동 820-1,",",36.13732095,128.09375971975066,4
11,영남제일문,경상북도 김천시 다수동,",",0.0,0.0,4
12,사명대사공원,경상북도 김천시 다수동,",",36.11929935,128.0075620031895,4
13,강변조각공원,경상북도 김천시 신음동,",",0.0,0.0,4
