,0,1,2
0,문경새재 도립공원,경상북도 문경시 문경읍 새재로 932 KR,"산길에 위치한 아름다운 도립공원이자 관광 명소로 호텔, 박물관, 편의시설이 있습니다."
1,문경단산모노레일,경상북도 문경시 문경읍 활공장길 106,","
2,문경새재오픈세트장,경상북도 문경시 새재로 932,","
3,문경철로자전거 진남역,경상북도 문경시 마성면 진남1길 155,","
4,문경활공랜드 패러글라이딩,경상북도 문경시 문경읍 활공장길 80 KR,","
5,진남교반,경상북도 문경시 마성면 신현리 산41,","
6,고모산성,경상북도 문경시 마성면 신현리 KR,","
7,선유동계곡,경상북도 문경시 가은읍 완장리,","
8,쌍용계곡,경상북도 문경시 농암면 내서리,","
9,문경카트월드,경상북도 문경시 문경읍 하초리 261,","
10,옛길박물관,경상북도 문경시 문경읍 새재로 944,","
11,문경오미자테마터널,경상북도 문경시 마성면 문경대로 1356-1,","
12,문경새재 제1관문 주흘관,경상북도 문경시 문경읍 상초리,","
13,문경새재 제2관문 조곡관,경상북도 문경시 문경읍 새재로,","
