index,name,address,description,latitude,longitude,level
0,분천 산타마을,경상북도 봉화군 소천면 분천리 1126-4,",",0.0,0.0,1
1,봉화전통문화마을,경상북도 봉화군 봉화읍 해저리 723,",",0.0,0.0,1
2,국립백두대간수목원,경상북도 봉화군 춘양면 춘양로 1501,",",37.0047877,128.8132668,1
3,백천계곡,경상북도 봉화군 석포면 대현리,",",0.0,0.0,1
4,오전약수탕,경상북도 봉화군 물야면 문수로 1541,",",0.0,0.0,1
5,닭실(달실)마을,경상북도 봉화군 봉화읍 유곡리 963,",",0.0,0.0,1
6,청량폭포,경상북도 봉화군 명호면 북곡리 332,",",0.0,0.0,1
7,"구마계곡,소천계곡",경상북도 봉화군 소천면 고선리,",",0.0,0.0,1
8,봉화선유교,경상북도 봉화군 명호면 풍호리 산171,",",0.0,0.0,1
9,청량산도립공원,경상북도 봉화군 명호면 청량로 255,",",36.7861194,128.9206517,1
10,다덕약수관광지,경상북도 봉화군 봉성면 우곡리,",",0.0,0.0,1
11,김생굴,경상북도 봉화군 명호면 북곡리,",",0.0,0.0,1
12,청암정(靑巖亭),경상북도 봉화군 명호면 북곡리,",",36.90492,128.7419985,1
13,축서사,경상북도 봉화군 물야면 월계길 739 KR,",",36.981434,128.8004245,1
