index,name,address,description,latitude,longitude,level
0,영덕해맞이공원,경상북도 영덕군 영덕읍 영덕대게로 968,",",0.0,0.0,3
1,블루로드,경상북도 영덕군 남정면 부경리 307-6,",",36.3322364,129.3785641,3
2,삼사해상공원 해양산책로,경상북도 영덕군 강구면 삼사리 662-10,",",0.0,0.0,3
3,영덕어촌민속전시관,경상북도 영덕군 강구면 해상공원길 96-8,",",0.0,0.0,3
4,괴시리 전통마을,경상북도 영덕군 영해면 괴시리,",",0.0,0.0,3
5,죽도산전망대(축산등대),경상북도 영덕군 축산면,",",0.0,0.0,3
6,영덕 풍력발전단지,경상북도 영덕군 영덕읍 해맞이길 254-6,",",0.0,0.0,3
7,삼사해상공원,경상북도 영덕군 강구면 해상공원길 120-7,",",36.34897615,129.38512332899876,3
8,오천솔밭유원지,경상북도 영덕군 지품면 오천리,",",0.0,0.0,3
9,창포말등대,경상북도 영덕군 영덕읍 창포리 산5-5,",",0.0,0.0,3
10,옥계유원지,경상북도 영덕군 달산면 옥계리,",",0.0,0.0,3
11,해파랑공원,경상북도 영덕군 강구면 강구리 227-6,",",36.36074775,129.39321738647192,3
12,벌영메타세콰이어숲,경상북도 영덕군 영해면 벌영리 산54-1,",",0.0,0.0,3
13,영덕 화장실 노지,경상북도 영덕군 축산면 경정리 124,",",0.0,0.0,3
