,0,1,2
0,선바위관광지,경상북도 영양군 입암면 영양로 883-16,","
1,삼의계곡,경상북도 영양군 석보면 포산리,","
2,반딧불이생태학교,경상북도 영양군 수비면 반딧불이로 129,","
3,수하계곡,경상북도 영양군 수비면 수하리,","
4,영양 서석지(永陽 瑞石池),경상북도 영양군 입암면 연당리 394-1,","
5,영양반딧불이생태공원,경상북도 영양군 수비면 수하리,","
6,검마산자연휴양림,경상북도 영양군 수비면 검마산길 191,","
7,졸참나무와 당숲,경상북도 영양군 수비면 송하리,","
8,만곡정사,경상북도 영양군 일월면 주곡리 175,","
9,오무마을,경상북도 영양군 수비면 산 121,","
10,영양군 음식디미방 전통주 체험관,경상북도 영양군 석보면 원리리 386-12,","
11,남자현지사 생가지,경상북도 영양군 석보면 지경리 394,","
12,두들마을,경상북도 영양군 석보면 지경리 394,","
13,두들마을유물전시관,경상북도 영양군 석보면 원리리,","
