index,name,address,description,latitude,longitude,level
0,희방폭포,경상북도 영주시 풍기읍 죽령로1720번길 278 (희방사쪽),",",36.9179661,128.4578264,3
1,영주 무섬마을,경상북도 영주시 문수면 무섬로234번길,",",36.73075295,128.62334528724995,3
2,무섬마을 외나무다리,경상북도 영주시 문수면 수도리 224,",",0.0,0.0,3
3,죽계구곡(竹溪九曲),경상북도 영주시 순흥면 배점리,",",0.0,0.0,3
4,희방사,경상북도 영주시 풍기읍 수철리 산1-1,",",36.9198359,128.4571206,3
5,선비촌,경상북도 영주시 순흥면 청구리 357,",",36.927054,128.579676,3
6,솔향기마을,경상북도 영주시 봉현면 대촌리 773-1,",",0.0,0.0,3
7,영주 관사골 (Yeongju Gwansagol Street),경상북도 영주시 영주1동 두서길19번길 10,",",0.0,0.0,3
8,초암사,경상북도 영주시 순흥면 배점리 524,",",36.944543,128.525867,3
9,서천폭포,경상북도 영주시 영주동,",",0.0,0.0,3
10,비로사,경상북도 영주시 풍기읍 삼가리 381,",",36.93887,128.498949,3
11,소수박물관,경상북도 영주시 풍기읍 삼가리 381,",",36.92577180000001,128.58207977272318,3
12,영주 성혈사 나한전,경상북도 영주시 순흥면 덕현리 277,",",0.0,0.0,3
13,풍기인삼시장,경상북도 영주시 풍기읍 서부리 145-3 KR,",",36.873074,128.524046,3
