index,name,address,description,latitude,longitude,level
0,예천 금당실마을,경상북도 예천군 용문면 금당실길 52-16,",",0.0,0.0,2
1,예천곤충생태체험관,"경상북도 예천군 Hyoja-myeon, 은풍로 1045",",",0.0,0.0,2
2,예천온천,경상북도 예천군 감천면 온천길 27,",",36.718809,128.493846,2
3,회룡포전망대,경상북도 예천군 용궁면 향석리,",",0.0,0.0,2
4,병암정,경상북도 예천군 용문면 성현리 93,",",36.6820138,128.4197193,2
5,예천 삼강주막,경상북도 예천군 풍양면 삼강리 166-1,",",36.56281535,128.29799131487746,2
6,예천박물관,경상북도 예천군 감천면 복골길 150 KR,",",0.0,0.0,2
7,예천 천향리 석송령,경상북도 예천군 감천면 천향리 804,",",0.0,0.0,2
8,예천 초간정(草澗亭),경상북도 예천군 용문면 용문경천로 874,",",0.0,0.0,2
9,용문사,경상북도 예천군 용문면 내지리 391,",",36.73111675,128.3689379470636,2
10,예천권씨 초간종택,경상북도 예천군 용문면 죽림리 166,",",0.0,0.0,2
11,선몽대,경상북도 예천군 용문면 죽림리 166,",",0.0,0.0,2
12,예천 용문사 대장전,경상북도 예천군 용문면 내지리 391,",",0.0,0.0,2
13,신라식물원,경상북도 예천군 감천면 유리 486,",",36.834319,128.642232,2
