index,name,address,description,latitude,longitude,level
0,봉래폭포,경상북도 울릉군 울릉읍 도동리 산39,",",37.4981732,130.8838863,1
1,행남 해안산책로,경상북도 울릉군 울릉읍 도동리,",",0.0,0.0,1
2,촛대바위,경상북도 울릉군 울릉읍 도동리,",",37.2411356,131.86725226976046,1
3,태하 향목 모노레일,경상북도 울릉군 서면 태하길 236,",",0.0,0.0,1
4,울릉도 태하 등대,경상북도 울릉군 서면 태하등대길 188,",",0.0,0.0,1
5,대풍감,경상북도 울릉군 서면 태하리,",",0.0,0.0,1
6,독도박물관,경상북도 울릉군 울릉읍 약수터길 90-17,",",37.4833281,130.9009199,1
7,코끼리바위(공암),경상북도 울릉군 북면 현포리 36~2,",",0.0,0.0,1
8,울릉 성인봉 원시림,경상북도 울릉군 북면 나리 산44-1,",",0.0,0.0,1
9,울릉국화섬백리향군락지,경상북도 울릉군 북면 나리 320-1,",",0.0,0.0,1
10,내수전 일출전망대,경상북도 울릉군 울릉읍 저동리,",",0.0,0.0,1
11,내수전약수터,경상북도 울릉군 울릉읍 저동리,",",0.0,0.0,1
12,사동해수욕장,경상북도 울릉군 울릉읍 저동리,",",37.4757999,130.895703,1
13,안용복기념관,경상북도 울릉군 북면 석포길,",",37.5354383,130.9065895,1
