index,name,address,description,latitude,longitude,level
0,성류굴,경상북도 울진군 근남면 성류굴로 225,",",36.9558258,129.3797424,3
1,등기산 스카이워크,경상북도 울진군 후포면 등기산길 29,",",0.0,0.0,3
2,불영계곡,경상북도 울진군 서면 하원리 120,",",0.0,0.0,3
3,죽변 해안 스카이레일,경상북도 울진군 죽변면 죽변리 3-26,",",0.0,0.0,3
4,하트해변,경상북도 울진군 죽변면 죽변중앙로 235-10,",",0.0,0.0,3
5,금강소나무숲길,경상북도 울진군,",",0.0,0.0,3
6,갓바위전망대,경상북도 울진군 후포면 후포리 산141-19,",",0.0,0.0,3
7,불영사(佛影寺),"경상북도 울진군 Geumgangsong-myeon, 불영사길 48",",",0.0,0.0,3
8,울진왕피천공원,경상북도 울진군 근남면 친환경엑스포로 25,",",0.0,0.0,3
9,덕구계곡 온천 원탕,경상북도 울진군 북면 덕구리 산1-1,",",0.0,0.0,3
10,울진아쿠아리움,경상북도 울진군 근남면 수산리 346,",",36.970869,129.40754095530016,3
11,해중전망대,경상북도 울진군 죽변면 후정리,",",0.0,0.0,3
12,울진유황온천온탕,경상북도 울진군 죽변면 후정리,",",0.0,0.0,3
13,왕피천케이블카,경상북도 울진군 근남면 엑스포로 25,",",0.0,0.0,3
