index,name,address,description,latitude,longitude,level
0,조문국사적지,경상북도 의성군 금성면 동부로 2545,",",0.0,0.0,2
1,의성 조문국박물관,경상북도 의성군 금성면 초전1길 83,",",0.0,0.0,2
2,사촌마을,경상북도 의성군 점곡면 사촌리 362-5,",",0.0,0.0,2
3,고운사(孤雲寺),경상북도 의성군 단촌면 고운사길 415,",",0.0,0.0,2
4,의성통종마늘마을,경상북도 의성군 춘산면 사미리 389,",",0.0,0.0,2
5,산운생태공원,경상북도 의성군 금성면 산운리 236,",",0.0,0.0,2
6,빙계계곡,경상북도 의성군 춘산면 빙계리 896,",",0.0,0.0,2
7,경덕왕릉,경북 의성군 금성면 대리 산 8번지,",",0.0,0.0,2
8,빙계서원,경상북도 의성군 춘산면 빙계리,",",36.226906,128.7538743,2
9,공룡발자국,경상북도 의성군 금성면 제오리,",",37.54120845,127.0704085942851,2
10,주월사,경상북도 의성군 사곡면 양지리 10,",",0.0,0.0,2
11,의성 사촌리 가로숲,경상북도 의성군 점곡면 사촌리 356,",",0.0,0.0,2
12,영귀정,경상북도 의성군 점곡면 사촌리 356,",",0.0,0.0,2
13,의성 금성산 고분군,"경북 의성군 금성면 대리 , 학미리, 탑리",",",0.0,0.0,2
