index,name,address,description,latitude,longitude,level
0,칠곡호국평화기념관,경상북도 칠곡군 석적읍 강변대로 1580,",",0.0,0.0,4
1,가산산성,경상북도 칠곡군 가산면 가산리 산 98-1,",",36.015864,128.629598,4
2,금화계곡,경상북도 칠곡군 가산면 금화리,",",0.0,0.0,4
3,관호산성,경상북도 칠곡군 약목면 관호2리 산17번지 일원,",",0.0,0.0,4
4,대둔사,경상북도 칠곡군 가산면 가산리 242,",",0.0,0.0,4
5,송림사(松林寺),경상북도 칠곡군 동명면 송림길 73,",",0.0,0.0,4
6,칠곡평화분수,경상북도 칠곡군 왜관읍 왜관리 1350-29,",",0.0,0.0,4
7,칠곡보 생태공원,경상북도 칠곡군 석적읍 중지리,",",36.0194349,128.4011779,4
8,가산바위,경상북도 칠곡군,",",0.0,0.0,4
9,송정자연휴양림,경상북도 칠곡군 석적읍 반계3길 88,",",36.0251001,128.4329451,4
10,성 베네딕도회 왜관 수도원,경상북도 칠곡군 왜관읍 관문로 61,",",35.9890274,128.40295,4
11,세아수목원휴양림,경상북도 칠곡군 석적읍 호국로 605-42,",",0.0,0.0,4
12,왜관철교,경상북도 칠곡군 석적읍 호국로 605-42,",",0.0,0.0,4
13,강나루체육공원,경상북도 칠곡군 기산면 죽전리,",",0.0,0.0,4
