index,name,address,description,latitude,longitude,level
0,83타워,대구광역시 달서구 두류동 두류공원로 200,"꼭대기가 팔각형 모양인 83층 라디오 타워로 전망대, 식당, 카페가 있습니다.",35.8535044,128.5662742,5
1,대구수목원,대구광역시 달서구 화암로 342,"총 1,750여종의 식물이 전시되어있고 25개의 테마 정원으로 구성되어 있으며, 도심에서 가까운 도시형 수목원입니다.",35.7986914,128.52429008601072,5
2,두류공원,대구광역시 달서구 성당동 154,"83 타워, 콘서트장, 스포츠 시설, 도서관 등을 갖춘 조경 공원입니다.",35.84733345,128.55881950737506,5
4,서문시장,대구광역시 중구 큰장로26길 45,"유명한 대규모 실내외 시장에 음식, 의류, 실크를 판매하는 수천 개의 판매대가 있습니다.",35.86943,128.5807059,5
7,국립대구박물관,대구광역시 수성구 청호로 321,"고대 및 중세 문화 전시물, 돔 하우스, 석탑 등이 있는 대구 문화 유산 박물관입니다.",35.84577815,128.63791730041066,5
8,국채보상운동기념공원,대구광역시 중구 국채보상로 670," 255m 길이의 대왕참나무 오솔길과 소나무숲, 분수와 정자, 잔디광장, 향토 출신 시인들의 시비가 세워져 있는 시상의 오솔길, 선현들의 명언비로 꾸민 명언순례의 길 등이 갖추어져 있습니다.",35.8687508,128.6020065363744,5
9,대구근대역사관,대구광역시 중구 경상감영길 67,입장료가 무료인 박물관으로 현지 역사를 배울 수 있는 상설 및 기획 전시와 체험형 전시가 열립니다.,35.8717666,128.5911535983125,5
10,팔공산케이블카,대구광역시 동구 용수동 팔공산로185길 51,산 정상까지 멋진 경치를 감상할 수 있는 산악 케이블카로 등산로와 식음료를 즐길 수 있는 공간이 마련되어 있습니다.,35.9956237,128.6945791,5
11,대구미술관,대구광역시 수성구 미술관로 40,"대구근현대미술의 역사적 가치를 연구하고 이를 재조명하여 대구미술의 전위성을 알릴 수 있는 전시뿐만 아니라 국내,외 교류를 통해 동시대의 사회적 예술적 이슈와 세계 미술의 선도적 흐름을 소개하는 전시들을 기획해 선보이고 있습니다.",35.8269843,128.6743023,5
13,달성공원,대구광역시 중구 달성공원로 35,크지 않은 동물원에 코끼리부터 사슴까지 다양한 동물이 있는 넓게 개방된 공원입니다.,35.8756768,128.582094,5
