,0,1,2
0,감천문화마을,부산광역시 사하구 감내1로 200,"다채로운 주택, 벽화, 상점, 카페 등이 있는 그림 같은 명소입니다."
1,태종대,부산광역시 영도구 전망로 24,"절벽 위의 공원으로 바다를 조망할 수 있는 전망대, 열차, 등대 등이 있습니다."
2,용두산공원,부산광역시 중구 용두산길 37-55,"129m 높이의 전망대, 동상, 석조 기념물로 유명한 산림 공원입니다."
3,다이아몬드타워 (부산타워),부산광역시 중구 용두산길 37-30,전망대와 카페가 있는 118m 높이의 타워 꼭대기에서 멋진 전경을 볼 수 있습니다.
4,오륙도 스카이워크,부산광역시 남구 오륙도로 137,"무료로 이용할 수 있는 캔틸레버식 다리로, 유리 바닥에서 남해와 오륙도의 풍경을 감상할 수 있습니다."
5,BIFF광장,부산광역시 중구 구덕로 58-1,개봉관이 모여 있는 번화한 지역으로 길거리 음식을 즐기며 한국 유명 배우의 핸드프린트를 볼 수 있습니다.
6,청사포 다릿돌전망대,부산광역시 해운대구 중동 산3-9,72.5m에 달하는 청룡 모양의 해안 전망 부두로 마을과 등대가 보입니다.
7,초량 이바구길,부산광역시 동구 초량상로 49,계단이나 모노레일로 언덕 위의 복잡한 골목길에 도착하면 역사 전시를 보고 전망을 감상할 수 있습니다.
8,흰여울문화마을,부산광역시 영도구 영선동4가 1043,"재개발된 예술적인 문화 마을로 좁은 골목, 거리 벽화, 해안 산책로가 있습니다."
9,해동용궁사,부산광역시 기장군 용궁길 86,광활한 바다를 마주한 오래된 불교 사찰로 14세기에 세워졌습니다.
10,국제시장,부산광역시 중구 국제시장2길 25,"길거리 음식, 가정용품, 기념품 등을 판매하는 매장이 넓게 펼쳐진 활기 넘치는 시장입니다."
11,168계단,부산광역시 동구 영초길 191,"168개 계단으로 이루어진 가파르고 좁은 오르막길로, 모노레일이 운행됩니다."
12,아미산 전망대,부산광역시 사하구 다대낙조2길 77,","
13,광안대교,부산광역시,2단 구조의 고속도로 현수교로 경관이 인상적이며 계절에 따라 다양한 조명이 켜집니다.
