,0,1,2
0,N서울타워,서울특별시 용산구 남산공원길 105,1980년에 문을 연 이 상징적인 타워는 도심의 탁 트인 전망을 자랑하며 회전식 레스토랑을 이용할 수 있습니다.
1,청계천,서울특별시 종로구 청계천로 1,"산책로, 다리, 녹지가 있는 휴식 공간으로 개울 주변으로 복원공사가 이루어졌습니다."
2,북촌한옥마을,서울특별시 종로구 계동길 37,14세기를 재현해 놓은 마을로 좁은 골목을 따라 전통 가옥이 즐비해 있습니다.
3,남산골 한옥마을,서울특별시 중구 퇴계로34길 28,1392~1910년에 지은 한옥 5채를 복원하여 재탄생한 한옥 마을로 투어 및 문화 프로그램이 진행됩니다.
4,이화동 벽화마을,서울특별시 종로구 낙산4길 49,"색색의 벽화, 모자이크 타일로 된 계단, 철제 조형물이 늘어선 골목길입니다."
5,남산 공원,서울특별시 중구 삼일대로 231,서울에서 가장 큰 공원으로 조용하고 나무가 울창한 언덕에 산책로가 있으며 전망대와 케이블카도 이용할 수 있습니다.
6,경복궁,서울특별시 종로구 사직로 161,박물관과 정원이 있는 거대한 14세기 왕궁이며 무료 가이드 투어가 제공됩니다.
7,종각젊음의거리,서울특별시 종로구 관철동,","
8,인사동거리,"Insadong, Jongro-gu, 서울특별시",","
9,I•SEOUL•U,서울특별시 영등포구 여의동 85-6,"글자 조형물이 설치된 한강 강변으로, 사진 찍는 사람들로 북적이며 스카이라인 전망을 감상할 수 있습니다."
10,서울숲공원,서울특별시 성동구 뚝섬로 273,"나무가 많고 자전거 도로가 있는 넓은 공원으로 장미, 호수, 나비 정원이 있고 사슴에게 먹이를 줄 수 있습니다."
11,도산공원,서울특별시 강남구 도산대로45길 20,녹음이 울창한 공원으로 독립운동가 도산 안창호를 기리는 기념관과 그의 동상이 있습니다.
12,인사동길,서울특별시 종로구 인사동,","
13,삼청동길,서울특별시 종로구 삼청동,"전통 한옥과 현대적인 부티크, 식당 등이 어우러져 있는 거리입니다."
