index,name,address,description,latitude,longitude,level
0,섬진강기차마을,전라남도 곡성군 오곡면 기차마을로 232,개조된 객차 내에 현대적인 B&B 객실과 레일 바이크 및 증기 기차 트랙이 내려다 보이는 테라스를 갖추고 있습니다.,0.0,0.0,2
1,압록유원지,전라남도 곡성군 오곡면 섬진강로 1097,",",0.0,0.0,2
2,동악산,전라남도 곡성군 곡성읍 학정리 산29-2,",",35.2819538,127.2520223,2
3,섬진강레일바이크,전라남도 곡성군 오곡면 침곡리 45-1,",",0.0,0.0,2
4,곡성 도림사 계곡,전라남도 곡성군 곡성읍 월봉리,",",0.0,0.0,2
5,(사)섬진강 도깨비마을,전라남도 곡성군 고달면 호곡도깨비길 119-97,",",0.0,0.0,2
6,기차마을 드림랜드,전라남도 곡성군 오곡면 오지리 745-5,",",0.0,0.0,2
7,대황강 출렁다리,전라남도 곡성군 목사동면 구룡리 395,",",0.0,0.0,2
8,섬진강기차마을 장미공원,전라남도 곡성군 오곡면 오지리 770-5,",",0.0,0.0,2
9,곡성 아트빌리지,전라남도 곡성군 오곡면 섬진강로 1455,",",0.0,0.0,2
10,섬진강변 철쭉길,전라남도 곡성군 오곡면 섬진강로 1877,",",0.0,0.0,2
11,자연애찬,전라남도 곡성군 오곡면 섬진강로 1877,",",0.0,0.0,2
12,섬진강 침실습지,전라남도 곡성군 오곡면 오지리,",",0.0,0.0,2
13,성륜사,전라남도 곡성군 옥과면 옥과리 산1-1,",",35.2969638,127.1202191,2
