index,name,address,description,latitude,longitude,level
0,광양매화축제,전라남도 광양시 다압면 지막1길,",",0.0,0.0,4
1,구봉산 전망대,전라남도 광양시 성황동 산228-2,",",0.0,0.0,4
2,광양와인동굴,전라남도 광양시 광양읍 강정길 21,",",34.9618245,127.6071456,4
3,배알도수변공원,전라남도 광양시 태인동 1630-1,",",34.9592539,127.76116915634265,4
4,광양매화마을,전라남도 광양시,",",0.0,0.0,4
5,유당공원,전라남도 광양시 광양읍 목성리,",",0.0,0.0,4
6,광양 옥룡사지,전라남도 광양시 옥룡면 추산리 295,",",0.0,0.0,4
7,광양매화문화관,전라남도 광양시 다압면 도사리 377,",",0.0,0.0,4
8,망덕포구,전라남도 광양시 진월면 망덕리,",",34.9727173,127.7588314,4
9,광양옥룡사지일원,전라남도 광양시 옥룡면 추산리 303,",",0.0,0.0,4
10,구시폭포,전라남도 광양시 진상면 회두1길,",",0.0,0.0,4
11,마동저수지 생태공원,전라남도 광양시 진상면 회두1길,",",0.0,0.0,4
12,섬진강,전라남도 광양시 다압면,",",35.2395753,127.3711388,4
13,관동마을,전라남도 광양시 다압면 섬진강매화로 1903 KR,",",36.7459564,127.1782303,4
