index,name,address,description,latitude,longitude,level
0,구례 산수유마을,전라남도 구례군 산동면 위안월계길 6-12,",",0.0,0.0,2
1,구례자연드림파크,전라남도 구례군 용방면 죽정리 920,",",0.0,0.0,2
2,구례관광특구,"전남 구례군 토지면 , 마산면, 광의면, 산동면",",",0.0,0.0,2
3,임걸령,전라남도 구례군 토지면 내동리,",",35.3022055,127.5577023,2
4,천은사,전라남도 구례군 광의면 노고단로 209,",",37.444506,129.042589,2
5,용지동계곡,전라남도 구례군 간전면 금산리,",",0.0,0.0,2
6,사성암,전라남도 구례군 문척면 사성암길 303,",",35.1822788,127.4695431,2
7,섬진강 대나무숲길,전라남도 구례군 구례읍 봉서리 588,",",0.0,0.0,2
8,산수유마을,전라남도 구례군 산동면 계천리 711,",",36.622306,127.632583,2
9,산수유사랑공원,전라남도 구례군 산동면 좌사리 839-3,",",0.0,0.0,2
10,구례 오산 사성암 일원,"35° 10′ 46.86″ N, 28′ 50.78″ E, 127 원방리 구례읍 구례군 전라남도",",",0.0,0.0,2
11,지리산연곡사,"35° 10′ 46.86″ N, 28′ 50.78″ E, 127 원방리 구례읍 구례군 전라남도",",",0.0,0.0,2
12,성삼재휴게소,전라남도 구례군 산동면 좌사리,",",35.3062606,127.5105708,2
13,삼홍소,전라남도 구례군,",",0.0,0.0,2
