,0,1,2
0,담양 관방제림,전라남도 담양군 담양읍 객사7길 37,","
1,메타프로방스,전라남도 담양군 담양읍 학동리 586-1,"프랑스풍의 관광 마을로 선명한 색상의 건물과 설치 미술, 상점, 레스토랑이 있습니다."
2,죽녹원,전라남도 담양군 담양읍 죽녹원로 119,대규모의 식물이 있는 크고 고요한 대나무 정원으로 조명 아래에서 야간 산책을 하며 인근 시설을 이용할 수 있습니다.
3,메타세쿼이아가로수길,전라남도 담양군 담양읍 메타세쿼이아로 12,","
4,담양 용마루길,전라남도 담양군 용면 월계리 산90-9,","
5,담양호국민관광단지,전라남도 담양군 용면 월계리,","
6,소쇄원 (瀟灑園),전라남도 담양군 남면 지곡리 123,자연과 조화롭게 조성한 유서 깊은 전통 한국식 정원으로 인공 폭포가 있습니다.
7,삼지내마을,전라남도 담양군 창평면 돌담길 56-24,","
8,제월당 (霽月堂),전라남도 담양군 남면 소쇄원길 17,","
9,메타세콰이아가로수길,전라남도 담양군 담양읍 학동리,","
10,달빛 무월마을,전라남도 담양군 대덕면 금산리 332-1,","
11,명옥헌,전라남도 담양군 대덕면 금산리 332-1,","
12,면앙정,전라남도 담양군 봉산면 제월리 402,","
13,명옥헌 원림,전라남도 담양군 고서면 후산길 103,","
