index,name,address,description,latitude,longitude,level
0,목포 갓바위 (천연기념물 제500호),전라남도 목포시 용해동 산86-24,다리에서 보면 삿갓을 쓴 두 남자의 모습을 닮은 사암 바위입니다.,0.0,0.0,4
1,목포 춤추는 바다분수,전라남도 목포시 평화로 64,",",0.0,0.0,4
2,목포자연사박물관,전라남도 목포시 남농로 135,",",34.793893,126.421029,4
3,노적봉예술공원,전라남도 목포시 대의동2가 1-110,",",34.7882057,126.3809999,4
4,고하도해안데크,전라남도 목포시 달동,",",0.0,0.0,4
5,목포 근대역사관 1관(구 목포일본영사관),전라남도 목포시 영산로29번길 6 문화원,",",0.0,0.0,4
6,儒達山,전라남도 목포시 죽교동 산42-2,",",34.7904581,126.3715067,4
7,목포진역사공원,전라남도 목포시 만호동 1-126,",",0.0,0.0,4
8,유달산 일등바위(정상),전라남도 목포시 목원동,",",0.0,0.0,4
9,유달산낙조대,전라남도 목포시 죽교동,",",0.0,0.0,4
10,서산동 시화골목,전라남도 목포시 서산동,",",0.0,0.0,4
11,유달산 이등바위,전라남도 목포시 죽교동,",",0.0,0.0,4
12,목포비밀장소,전라남도 목포시 죽교동 산30-14,",",0.0,0.0,4
13,장미의거리,전라남도 목포시 상동 1001-6,",",0.0,0.0,4
