index,name,address,description,latitude,longitude,level
0,무안황토갯벌랜드,전라남도 무안군 해제면 만송로 36,",",0.0,0.0,4
1,무안황토갯벌랜드,전남 무안군 해제면 용산길 140,",",0.0,0.0,4
2,도리포,전라남도 무안군 해제면 송석리 130 해제면 송석리 130번지 무안군 전라남도 KR 58503,",",35.1565597,126.3464218,4
3,회산백련지,전라남도 무안군 일로읍 백련로,",",0.0,0.0,4
4,홀통유원지,전라남도 무안군 현경면 오류리,",",0.0,0.0,4
5,도리포유원지,전라남도 무안군 해제면 송석리 30-4,",",35.1569797,126.3467066,4
6,조금나루 유원지,전라남도 무안군 망운면 송현리 1070-5,",",0.0,0.0,4
7,목우암,전라남도 무안군 몽탄면 법천길 482-85,",",34.917799,126.4543965,4
8,법천사,전라남도 무안군 몽탄면 달산리 956,",",37.6154833,127.0395726,4
9,갓섬(변도),전라남도 무안군 삼향읍 왕산리 산155,",",0.0,0.0,4
10,홀통해수욕장,전라남도 무안군 현경면 홀통길 198-1,",",0.0,0.0,4
11,무안 식영정,전라남도 무안군 현경면 홀통길 198-1,",",0.0,0.0,4
12,탄도 해수욕장(Tando Beach),전라남도 무안군 망운면 탄도길 12-22,",",0.0,0.0,4
13,무안황토갯벌랜드,전라남도 무안군 만송로 36 무안갯벌캠핑장,",",0.0,0.0,4
