,0,1,2
0,태평염전,전라남도 신안군 증도면 대초리,방문객이 직접 해 볼 수 있는 다양한 액티비티가 있는 소금 농장이며 소금 생산지가 내려다보입니다.
1,신안튤립축제,전라남도 신안군 임자면 대기리 2523-10,","
2,신안 퍼플섬,전라남도 신안군 안좌면 소곡리 597-1,","
3,김대중대통령생가,전라남도 신안군 하의면 후광길 255,","
4,신안군 짱뚱어해수욕장,전라남도 신안군 증도면 문준경길 459-2,","
5,대광해수욕장,전라남도 신안군 임자면 대기리,","
6,백길 해수욕장,전라남도 신안군 자은면 백산리,","
7,짱뚱어다리,전라남도 신안군 증도면,","
8,용난굴,전라남도 신안군 임자면 이흑암리,","
9,우전해수욕장,전라남도 신안군 증도면 우전리,","
10,천사섬 분재공원,전라남도 신안군 압해읍 수락길 330,","
11,하나배도(라배도),전라남도 신안군 자은면 대율리 산1,","
12,신안해저유물발굴기념비,전라남도 신안군 자은면 대율리 산1,","
13,간암도,전라남도 신안군 하의면 후광리 산104,","
