index,name,address,description,latitude,longitude,level
0,영광산림박물관,전라남도 영광군 불갑면 불갑사로,",",35.20173665,126.54197725139724,3
1,법성포구,전라남도 영광군 법성면 법성리,",",0.0,0.0,3
2,천일염전,전라남도 영광군 백수읍 백수로3길 361,",",0.0,0.0,3
3,영광노을전시관,전라남도 영광군 백수읍 대신리 764,",",0.0,0.0,3
4,백제불교최초도래지,전라남도 영광군 법성면 백제문화로 203,",",0.0,0.0,3
5,갈구여,전라남도 영광군 낙월면 송이리 산461,",",0.0,0.0,3
6,불갑저수지수변공원,전라남도 영광군 불갑면 녹산리 126-1,",",0.0,0.0,3
7,백수해안공원,전라남도 영광군 백수읍 백암리,",",0.0,0.0,3
8,불갑테마공원,전라남도 영광군 불갑면 금계리 630-3,",",0.0,0.0,3
9,백수해안관광도로,전라남도 영광군 백수읍 백암리,",",0.0,0.0,3
10,숲쟁이 꽃동산,전라남도 영광군 법성면 진내리 777-19,",",0.0,0.0,3
11,숲쟁이공원,전라남도 영광군 법성면 진내리,",",0.0,0.0,3
12,한마음공원,전라남도 영광군 법성면 진내리,",",35.8172425,128.5146348128657,3
13,영광 내산서원,전라남도 영광군 불갑면 쌍운리 22-4,",",0.0,0.0,3
