index,name,address,description,latitude,longitude,level
0,월출산기찬랜드,전라남도 영암군 영암읍 기찬랜드로 19-3,",",0.0,0.0,3
1,100리 벚꽃길,전라남도 영암군 영암읍 남풍리 123-4,",",0.0,0.0,3
2,왕인문화체험길,전라남도 영암군 영암읍 개신리,",",0.0,0.0,3
3,왕인박사유적지,전라남도 영암군 군서면 왕인로 440,",",0.0,0.0,3
4,월출산국립공원,전라남도 영암군 영암읍 천황사로 280-43,바위가 많은 험준한 산으로 불상과 높은 곳에 구름다리가 있는 국립공원입니다.,34.7443617,126.66259011183628,3
5,도갑사,전라남도 영암군 군서면 도갑사로 306,",",34.75211915,126.66272160842362,3
6,국립공원월출산관리사무소,전라남도 영암군 영암읍 개신리 98-1,",",0.0,0.0,3
7,영암군서면의느티나무,전라남도 영암군 군서면 월곡리 747-2,",",0.0,0.0,3
8,덕진차밭,전라남도 영암군 덕진면 운암리,",",0.0,0.0,3
9,영암 월출산 유채꽃 축제,전라남도 영암군 영암읍 개신리 662-11,",",0.0,0.0,3
10,마한문화공원,전라남도 영암군 시종면 남해당로 65,",",0.0,0.0,3
11,천황사,전라남도 영암군 영암읍 개신리 449-1,",",0.0,0.0,3
12,영암내동리쌍무덤,전라남도 영암군 영암읍 개신리 449-1,",",0.0,0.0,3
13,영암 백리벚꽃길,전라남도 영암군 군서면 월곡리 407-22,",",0.0,0.0,3
