index,name,address,description,latitude,longitude,level
0,완도타워,전라남도 완도군 완도읍 장보고대로 330,",",34.31076645,126.76656414772626,2
1,완도 모노레일,전라남도 완도군 완도읍 장보고대로 332,",",0.0,0.0,2
2,장도 청해진 유적지,전라남도 완도군 완도읍 장좌리 734,",",0.0,0.0,2
3,장보고동상,전라남도 완도군 완도읍 죽청리,",",0.0,0.0,2
4,갈마도,전라남도 완도군 보길면 중통리 산256-1,",",0.0,0.0,2
5,청해포구촬영장 (해신 촬영지),전라남도 완도군 완도읍 청해진서로 1161-8 KR,",",0.0,0.0,2
6,망끝전망대,전라남도 완도군 보길면 정자리,",",0.0,0.0,2
7,보길도갯길,전라남도 완도군 보길면 부황리 552-1,",",0.0,0.0,2
8,보길도 윤선도원림,전라남도 완도군 보길면 부황리 201-2,",",0.0,0.0,2
9,완도 예송리 상록수림,전라남도 완도군 보길면 예송리 220,",",0.0,0.0,2
10,전라남도완도자연휴양림,전라남도 완도군 완도읍 장좌리 산16-1,",",0.0,0.0,2
11,완도,전라남도 완도군 완도읍 장좌리 산16-1,",",34.3110373,126.7553933,2
12,상왕봉,전라남도 완도군 완도읍 대야리 산132-50,",",35.8235498,128.1205903,2
13,다도해일출공원,전라남도 완도군 완도읍 군내리,",",0.0,0.0,2
