index,name,address,description,latitude,longitude,level
0,정남진 전망대,전라남도 장흥군 관산읍 삼산리,",",0.0,0.0,2
1,선학동 유채마을,전라남도 장흥군 회진면 회진리 200,",",0.0,0.0,2
2,유치자연휴양림,전라남도 장흥군 유치면 신월리 443,",",34.771325,126.834524,2
3,귀족호도박물관,전라남도 장흥군 장흥읍 향양리 862-1,",",34.6749262,126.9191676,2
4,장흥 무계고택,전라남도 장흥군 내평길 16,",",0.0,0.0,2
5,정남진 장흥토요시장,전라남도 장흥군 장흥읍 토요시장3길 15,",",0.0,0.0,2
6,보림사,전라남도 장흥군 유치면 봉덕리 45,",",34.8079362,126.89679323706588,2
7,천관산도립공원,전라남도 장흥군 관산읍 옥당리 산22-3,",",0.0,0.0,2
8,정남진 천문과학관,전라남도 장흥군 장흥읍 평화우산길 180-608,",",0.0,0.0,2
9,사인정,전라남도 장흥군 장흥읍 송암리 359,",",34.654435,126.875207,2
10,수인산성,전라남도 장흥군 유치면 대리,",",0.0,0.0,2
11,이청준생가,전라남도 장흥군 회진면 진목리 475,",",0.0,0.0,2
12,천관산관광농원,전라남도 장흥군 회진면 진목리 475,",",0.0,0.0,2
13,심천공원,전라남도 장흥군 부산면 지천리,",",0.0,0.0,2
