index,name,address,description,latitude,longitude,level
0,함평자연생태공원,전라남도 함평군 대동면 운교리 500-1,",",35.1346557,126.505172,2
1,함평 억새밸사산기리존,전라남도 함평군 함평읍 주포로,",",0.0,0.0,2
2,한옥마을,전라남도 함평군 해보면 산내리,",",37.5982217,126.99808558362564,2
3,꽃무릇공원,전라남도 함평군 해보면 광암리,",",0.0,0.0,2
4,용천사,전라남도 함평군 해보면 광암리 415,",",37.4748018,126.9435478,2
5,안악해수욕장,전라남도 함평군 손불면 월천리 산1140,",",0.0,0.0,2
6,민예학당,전라남도 함평군 손불면 산남리 2425-1,",",0.0,0.0,2
7,엑스포공원사업소,전라남도 함평군 함평읍 곤재로 27,",",0.0,0.0,2
8,자산서원,전라남도 함평군 엄다면 엄다리 554,",",0.0,0.0,2
9,Grand Chrysanthemum Festival (대한민국 국향대전),전라남도 함평군 함평읍 곤재로 27,",",0.0,0.0,2
10,함평보광사범종,전라남도 함평군 함평읍 한재골길 26-32,",",0.0,0.0,2
11,함평 양서 파충류 생태공원,전라남도 함평군 신광면 가덕리 425,",",0.0,0.0,2
12,황토와들꽃세상학습원,전라남도 함평군 신광면 가덕리 425,",",0.0,0.0,2
13,달맞이공원,전라남도 함평군 월야면 용월리,",",37.72043595,126.70704136217788,2
