index,name,address,description,latitude,longitude,level
0,세량지,전라남도 화순군 화순읍 세량리 97,",",0.0,0.0,4
1,화순 연둔리 숲정이,전라남도 화순군 동복면 연둔리 1 구 57번지,",",0.0,0.0,4
2,백아산 하늘다리,전라남도 화순군 북면 용곡리 산1,",",0.0,0.0,4
3,망향정,전라남도 화순군 이서면 장학리 80-1,",",35.8859215,128.5101624,4
4,환산정,전라남도 화순군 동면 서성리 147,",",0.0,0.0,4
5,규봉암,전라남도 화순군 이서면 도원길 40-28,",",35.1182226,127.0159487,4
6,수만리 들국화마을,전라남도 화순군 화순읍 만수길 42,",",0.0,0.0,4
7,수만리 철쭉공원,전라남도 화순군 화순읍 수만리 714-4,",",0.0,0.0,4
8,만연폭포,전라남도 화순군 화순읍 유천리,",",0.0,0.0,4
9,화순적벽,전라남도 화순군 이서면 장학리 산17,",",35.1034252,127.0876244,4
10,화순 고인돌 유적지,전라남도 화순군 도곡면 효산리,",",0.0,0.0,4
11,영벽정,전라남도 화순군 능주면 관영리 1,",",34.9933182,126.9649272,4
12,너릿재 정상,전라남도 화순군 능주면 관영리 1,",",0.0,0.0,4
13,유마사,전라남도 화순군 남면 유마리 321,",",-21.1279044,-64.792977,4
