,0,1,2
0,춘향테마파크,전라북도 남원시 노암동 양림길 14-9,","
1,남원관광단지,전북 남원시 어현동 남원관광단지,","
2,광한루원,전라북도 남원시 금동 요천로 1447,","
3,구룡계곡,전라북도 남원시 주천면,","
4,광한루(廣寒樓),전라북도 남원시 천거동 78,화려하게 재건된 1419년 조선 시대 명소로 한국 TV 사극에 종종 등장합니다.
5,춘향허브마을,전라북도 남원시 운봉읍 용산리 211,","
6,뱀사골 계곡,전라북도 남원시 산내면 부운리 산93-4,","
7,지리산허브밸리,전라북도 남원시 운봉읍 바래봉길 214,","
8,육모정계곡,전라북도 남원시 주천면 호경리,","
9,광한루,전라북도 남원시,","
10,남원랜드,전라북도 남원시 노암동 양림길 58-13,","
11,남원역 폐역,전라북도 남원시 노암동 양림길 58-13,","
12,오리정,전라북도 남원시 사매면 월평리 27-1,","
13,[지리산 둘레길 코스] 3구간.인월-금계,전라북도 남원시 인월면 인월2길,","
