index,name,address,description,latitude,longitude,level
0,무주구천동관광단지,전라북도 무주군 설천면 삼공리,",",0.0,0.0,3
1,무주 머루와인,전라북도 무주군 적상면 북창리 산119-5,",",0.0,0.0,3
2,라제통문,전라북도 무주군 설천면 소천리 1501,",",35.9962724,127.7960919,3
3,무주구천동계곡,전라북도 무주군 설천면 심곡리,",",0.0,0.0,3
4,무주문화관광,전라북도 무주군 무주읍 주계로 97,",",0.0,0.0,3
5,무주반디랜드 관광안내소,전라북도 무주군 설천면 청량리 1100,",",0.0,0.0,3
6,무주 한풍루,전라북도 무주군 무주읍 한풍루로 326-17,",",36.0040674,127.6623242,3
7,칠연계곡,전라북도 무주군 안성면 공정리,",",0.0,0.0,3
8,무주곤충박물관,전라북도 무주군 설천면 청량리 1074,",",0.0,0.0,3
9,지전마을돌담길,전라북도 무주군 설천면 길산리 48-1,",",0.0,0.0,3
10,천일폭포,전라북도 무주군 적상면 북창리,",",0.0,0.0,3
11,무주 반딧불이,전라북도 무주군 무주읍 가옥리 산85-28,",",0.0,0.0,3
12,구천동,전라북도 무주군 무주읍 가옥리 산85-28,",",37.27373,127.01799,3
13,안국사,전라북도 무주군 적상면 괴목리 산184-1,",",35.9446544,127.69167107898184,3
